5E4 3  0 1.2 3.3 3.4 1.5                                                        
5E4 7  1 1.7                                                                    
5E4 7  0 1.2 6.3 1.5 1.8 3.8                                                    
5E4 5  0 1.3                                                                    
5E4 8  0 1.5                                                                    
3F1 3  0 8.2 3.3 1.5                                                            
3F1 8  0 1.8                                                                    
3F1 2  0 1.3                                                                    
3F1 29 1 1.2                                                                    
3F1 1  1 1.3                                                                    
3F2 12 0 6.2 5.3 3.4 2.6 1.7                                                    
3F2 7  0 1.2 2.3 2.4                                                            
3F2 3  0 6.2 11.3 4.4 4.5 1.6 1.7                                               
3F2 12 1 3.2 1.4 1.5                                                            
3F2 10 1 1.8                                                                    
3F2 7  1 1.2                                                                    
3F3 7  0 2.2 3.3 2.5 1.7                                                        
3F3 7  1 1.2                                                                    
3F3 10 1 1.8                                                                    
3F4 5  0 1.3 2.4 1.5 1.6 1.7                                                    
3F4 5  1 2.2 1.3                                                                
3F4 12 0 1.3 1.4 1.5                                                            
3F4 7  0 1.3 1.6                                                                
3F4 10 1 1.5                                                                    
3F4 3  0 1.2 1.3                                                                
3F4 4  0 1.8                                                                    
4F1 7  0 1.2                                                                    
4F1 1  0 2.6                                                                    
4F1 10 0 1.5 1.6                                                                
4F2 16 0 1.6                                                                    
4F2 1  0 1.6 1.9                                                                
4F2 10 0 2.4                                                                    
4F2 5  0 1.2                                                                    
4F3 7  0 1.3 2.4 2.5 2.7 1.8 1.9                                                
4F3 7  1 2.2                                                                    
4F3 5  0 2.5 1.8 1.9                                                            
4F3 1  0 1.6                                                                    
4F3 3  0 1.4                                                                    
4F4 5  0 2.2 1.3                                                                
5F1 3  0 6.2 8.3 8.4 4.5 3.6                                                    
5F1 5  0 7.2                                                                    
5F1 1  1 1.5                                                                    
5F2 4  1 1.8 1.9                                                                
5F2 4  0 1.2 1.5 1.6                                                            
5F2 1 1 1.9                                                                     
5F3 7  1 2.2 3.3                                                                
5F3 5  0 1.3 2.5 2.6 1.7                                                        
5F3 10 0 1.8                                                                    
5F3 3  0 1.2 2.3 2.4                                                            
5F3 2  0 1.9                                                                    
5F3 7  0 3.2 1.3 1.4 1.5                                                        
5F3 6  0 1.8                                                                    
5F3 5  1 1.4                                                                    
5F3 1  1 2.5                                                                    
5F4 3  0 7.2 5.3 2.4 1.5                                                        
5F4 2  0 1.4                                                                    
5F4 1  1 1.5                                                                    
5F4 5  0 1.4                                                                    
5F4 7  0 1.3 1.4                                                                
5F4 6  0 1.8                                                                    
3G1 7  1 1.2                                                                    
3G1 7  0 1.5 1.7 1.9                                                            
3G1 3  0 2.2 3.4 3.6 1.8 1.9                                                    
3G1 6  1 2.4                                                                    
3G1 4  0 2.2 1.3 1.5 1.7                                                        
3G1 2  0 1.3 1.4 1.6                                                            
3G1 3  1 1.7                                                                    
3G1 5  1 1.6                                                                    
3G1 5  0 1.9                                                                    
3G1 8  0 1.3                                                                    
3G2 6  1 1.7                                                                    
3G2 6  0 1.6 1.9                                                                
3G2 3  0 7.2 5.3 4.4 2.5 2.6 2.7                                                
3G2 8  0 1.3 1.4 2.7                                                            
3G2 1  1 1.8                                                                    
3G2 7  0 1.2 1.3 1.6 1.7 1.8 1.9                                                
3G2 7  1 2.3                                                                    
3G2 5  1 1.9                                                                    
3G3 3  1 1.5 1.6                                                                
3G3 5  0 1.9                                                                    
3G3 7  1 1.4 1.6                                                                
3G3 7  0 1.3                                                                    
3G3 3  0 2.2 1.3 2.4                                                            
3G3 8  0 2.3 1.5                                                                
3G3 5  1 1.8 1.9                                                                
3G3 25 0 2.3 1.4                                                                
3G4 7  0 1.3 6.4 6.5 4.6 1.8 2.9                                                
3G4 4  0 1.2 1.6 1.9                                                            
3G4 8  0 2.3 1.9                                                                
3G4 12 1 1.5                                                                    
3G4 3  0 1.2 3.3                                                                
3G4 7  0 1.2 2.4 0.5 1.6                                                        
3G4 5  0 0.4 1.5 0.6 1.7                                                        
3G4 2  0 1.3                                                                    
3G4 8  0 1.5                                                                    
4G1 1  0 9.2 2.3 1.4 1.6                                                        
4G1 8  0 1.4 1.5                                                                
4G1 6  0 1.3 1.6                                                                
4G1 7  0 5.2 1.5 3.9                                                            
4G1 4  0 1.3 1.9                                                                
4G1 3  0 9.2 4.3 1.5 3.6 2.7 2.9                                                
4G1 5  0 1.3                                                                    
4G1 2  0 2.2 1.6                                                                
4G1 6  1 1.2                                                                    
4G1 7  1 1.2 1.6 1.8                                                            
4G1 3  1 1.5                                                                    
4G1 1  1 1.4                                                                    
4G2 1  0 6.2 6.3 1.5                                                            
4G2 7  0 6.2 1.4 1.5 1.7                                                        
4G2 6  0 1.3                                                                    
4G2 8  0 2.4 1.9                                                                
4G2 5  0 1.2 1.5 1.6 1.7                                                        
4G2 5  1 2.2                                                                    
4G3 7  1 1.4 2.5 1.6 2.8                                                        
4G3 5  0 1.8 1.9                                                                
4G3 5  1 1.4                                                                    
4G3 7  0 2.6 1.7 2.8                                                            
4G3 6  1 1.6                                                                    
4G3 3  1 1.5 1.7                                                                
4G4 4  0 1.2                                                                    
4G4 8  0 1.2 1.3 1.6 2.7 1.8 1.9                                                
4G4 1  1 1.4                                                                    
4G4 6  0 1.4                                                                    
4G4 8  1 1.3 1.6                                                                
4G4 2  0 1.2 1.7                                                                
4G4 7  0 1.8                                                                    
4G4 12 0 1.2                                                                    
4G4 7  1 1.3                                                                    
5G1 5  0 1.2 1.6 1.7                                                            
5G1 3  0 1.4 1.5                                                                
5G1 7  1 1.6                                                                    
5G1 7  0 1.2 2.3 1.8 1.9                                                        
5G1 1  1 1.3                                                                    
5G2 26 0 1.3                                                                    
5G2 3  0 14.2 9.3 16.4 9.5 6.6 5.7 3.8 2.9                                      
5G2 6  0 2.7                                                                    
5G2 7  0 1.5                                                                    
5G2 5  0 1.5 1.7                                                                
5G2 5  1 1.4                                                                    
5G2 2  0 2.4                                                                    
5G2 29 0 1.2                                                                    
5G2 1  1 1.7                                                                    
5G2 7  1 1.7                                                                    
5G2 8  0 1.3                                                                    
5G3 3  0 1.2 6.3 4.4 6.5 2.6 1.7 1.8                                            
5G3 5  1 1.7                                                                    
5G3 2  0 1.2 1.5 1.7                                                            
5G3 26 0 1.3                                                                    
5G3 5  0 2.3 1.7                                                                
5G3 8  0 2.2 1.5                                                                
5G2 4  0 1.2                                                                    
5G4 8  0 12.2 3.3 3.4 5.5 4.6 1.8                                               
5G4 3  1 1.6                                                                    
5G4 3  0 1.2 2.3 4.4 3.5 1.7 2.8                                                
5G4 26 0 1.2                                                                    
5G4 2  0 1.5                                                                    
5G4 8  1 1.2                                                                    
5G4 5  1 1.2 1.4 1.8                                                            
3H1 7  0 1.2 1.4 1.5 1.6 2.7 1.8                                                
3H1 5  0 2.2                                                                    
3H1 6  0 2.2                                                                    
3H1 2  1 1.3 1.5 1.6                                                            
3H1 8  0 1.2 1.3 2.4                                                            
3H1 1  0 5.2 5.3 1.4 2.5 4.6 1.7 2.9                                            
3H1 3  0 2.2 1.3 1.6                                                            
3H1 7  1 1.2 1.4                                                                
3H1 2  0 1.2 1.5 1.6 1.7                                                        
3H1 10 0 1.5 1.9                                                                
3H1 1  1 1.2 1.3                                                                
3H1 8  1 1.3                                                                    
3H1 3  1 1.3                                                                    
3H2 5  0 2.2 1.4 2.6 1.8                                                        
3H2 6  0 1.8                                                                    
3H2 7  0 8.2 4.3 2.4 1.5 2.6 1.9                                                
3H2 1  0 1.3 1.4                                                                
3H2 4  0 1.3 1.6                                                                
3H2 7  1 1.3 2.4 1.7                                                            
3H3 7  1 2.2 2.3                                                                
3H3 7  0 1.2 4.3 2.5 2.6 1.7 1.8                                                
3H3 5  0 1.2 1.4 1.5 1.6                                                        
3H3 3  0 1.2 1.3                                                                
3H3 5  1 1.3 1.8                                                                
3H3 25 0 2.2 1.3 1.4 1.5                                                        
3H3 25 1 1.2 1.5                                                                
3H3 2  0 2.2 1.4                                                                
3H3 4  0 1.3                                                                    
3H3 1  1 1.6                                                                    
3H4 2  0 1.3 3.4 3.6 1.8                                                        
3H4 8  0 1.3 2.7                                                                
3H4 7  0 1.5 2.7 4.8                                                            
3H4 7  1 2.2 1.4 1.5 2.6 2.7                                                    
3H4 3  0 1.5 1.9                                                                
3H4 25 0 3.2 3.3 2.4 1.5                                                        
3H4 2  1 1.4 1.5 1.7                                                            
3H4 25 1 1.2                                                                    
