!PLOT # 200 M FIA_SPP   DBH  COUNT
              BF           2 1
              HE           1 3
              HE           3 1
              PB           1 1
              PB           3 1
              RM           1 3
              RM           2 2
              RM           3 2
              RO           3 3
              RS           1 1
              RS           3 1
