!PLOT # 200 M FIA_SPP   DBH  COUNT
              BF           1 3
              RM           1 5
              RM           2 1
              RM           3 4
              RO           2 1
              RO           3 1
              RS           1 2
              RS           2 1
              RS           3 2
              YB           1 1
              YB           3 1
