!PLOT # 200 M FIA_SPP   DBH  COUNT
              BF           3 2
              PP           3 1
              RM           1 1
              RM           2 3
              RM           3 1
              RO           1 1
              RO           2 1
              WO           2 1
              WP           1 3
              WP           3 1
              witch        1 3
              witch        2 2
