YEAR,QUAD,PLOT,SPEC,FIASP,HT1,HT2,HT3,HT4
2004,5E1,3,5,833,1,0,0,0
2004,5E1,4,7,316,10,0,0,0
2004,5E1,4,1,129,3,7,1,0
2004,5E1,4,5,833,0,1,0,0
2004,5E1,4,3,012,0,1,0,0
2004,5F4,1,3,012,4,1,0,0
2004,5F4,1,7,316,7,0,0,0
2004,5F4,2,0,000,0,0,0,0
2004,5F4,3,2,097,0,3,2,0
2004,5F4,3,7,316,8,0,0,0
2004,5F4,3,1,129,2,2,0,0
2004,5F4,3,3,012,0,3,0,0
2004,5F4,4,7,316,7,0,0,0
2004,5F4,4,3,012,0,1,0,0
2004,5F4,4,1,129,1,1,0,0
2004,5F4,4,2,097,0,0,1,0
2004,5F1,1,7,316,22,0,0,0
2004,5F1,2,7,316,6,0,0,0
2004,5F1,2,5,833,0,0,0,1
2004,5F1,3,3,012,0,6,0,0
2004,5F1,3,7,316,14,0,0,0
2004,5F1,3,5,833,0,1,0,0
2004,5F1,4,7,316,20,0,0,0
2004,4F4,1,7,316,2,1,0,0
2004,4F4,1,1,129,0,0,1,0
2004,4F4,1,3,012,0,1,0,0
2004,4F4,2,7,316,9,0,0,0
2004,4F4,2,1,129,1,0,0,0
2004,4F4,3,3,012,0,10,0,0
2004,4F4,3,7,316,1,0,0,0
2004,4F4,4,7,316,6,0,0,0
2004,4F4,4,3,012,0,1,0,0
2004,5F3,1,7,316,11,0,0,0
2004,5F3,1,1,129,8,0,0,0
2004,5F3,1,3,012,0,3,0,0
2004,5F3,2,7,316,5,0,0,0
2004,5F3,2,1,129,6,3,0,0
2004,5F3,2,3,012,0,1,0,0
2004,5F3,3,1,129,2,3,0,0
2004,5F3,3,7,316,6,0,0,0
2004,5F3,4,3,012,0,1,0,0
2004,5F3,4,1,129,0,1,0,0
2004,5F3,4,2,097,0,1,0,0
2004,5F3,4,7,316,3,0,0,0
2004,4E4,1,0,000,0,0,0,0
2004,4E4,2,7,316,1,0,0,0
2004,4E4,3,0,000,0,0,0,0
2004,4E4,4,7,316,1,0,0,0
2004,4F2,1,7,316,1,0,0,0
2004,4F2,1,3,012,1,0,0,0
2004,4F2,2,7,316,1,0,0,0
2004,4F2,3,1,129,3,2,0,0
2004,4F2,4,0,000,0,0,0,0
2004,4F1,1,0,000,0,0,0,0
2004,4F1,2,7,316,1,1,0,0
2004,4F1,3,1,129,1,0,0,0
2004,4F1,4,7,316,4,1,0,0
2004,4F3,1,1,129,2,1,2,0
2004,4F3,1,7,316,4,0,0,0
2004,4F3,2,7,316,4,0,0,0
2004,4F3,2,5,833,0,1,0,0
2004,4F3,3,7,316,4,0,0,0
2004,4F3,3,1,129,2,1,1,0
2004,4F3,4,7,316,12,0,0,0
2004,4E1,1,9,375,1,0,0,0
2004,4E1,1,7,316,0,1,0,0
2004,4E1,2,1,129,4,0,0,0
2004,4E1,2,7,316,7,0,0,0
2004,4E1,3,1,129,2,4,0,0
2004,4E1,3,7,316,6,0,0,0
2004,4E1,3,2,097,0,1,0,0
2004,4E1,4,1,129,16,0,0,0
2004,4E1,4,2,097,0,1,0,0
2004,4E1,4,7,316,3,0,0,0
2004,4E1,4,3,012,0,1,0,0
2004,4E2,1,7,316,5,0,0,0
2004,4E2,1,6,802,0,1,0,0
2004,4E2,1,1,129,2,1,0,0
2004,4E2,2,1,129,6,1,0,0
2004,4E2,2,7,316,1,0,0,0
2004,4E2,2,2,097,0,1,0,0
2004,4E2,3,7,316,5,0,0,0
2004,4E2,4,2,097,0,0,1,0
2004,4E2,4,7,316,4,1,0,0
2004,3F1,1,5,833,1,0,0,0
2004,3F1,1,7,316,18,0,0,0
2004,3F1,1,2,097,0,0,1,0
2004,3F1,2,3,012,1,9,0,0
2004,3F1,2,7,316,10,0,0,0
2004,3F1,3,7,316,10,0,0,0
2004,3F1,3,3,012,0,5,1,0
2004,3F1,4,7,316,10,0,0,0
2004,3F1,4,2,097,0,5,1,0
2004,3E1,1,3,012,5,5,0,0
2004,3E1,1,7,316,0,1,0,0
2004,3E1,1,1,129,0,1,0,0
2004,3E1,2,0,000,0,0,0,0
2004,3E1,3,3,012,0,2,3,0
2004,3E1,3,7,316,1,1,0,0
