Quadrat PlotSpec A B C D
7G44 7 1.1
7G21 0 0
7G22 7 5.1
7G23 7 3.1
7G24 0 0
7H11 7 3.1
7H12 1 10.2 5.2
7H12 7 58.1 2.2
7H12 2 1.2
7H12 5 1.1
7H13 2 3.2
7H13 1 7.1 2.2
7H13 7 26.1 1.2
7H14 1 5.2
7H14 7 17.1 2.2
7H14 3 3.3
7G31 7 2.1
7G31 1 1.1
7G31 3 1.1
7G32 1 5.1 2.2
7G32 7 12.1
7G33 1 4.1 2.2
7G33 2 3.2 1.3
7G33 4 1.2
7G33 7 10.1
7G33 3 1.1
7G34 7 22.1
7G34 1 1.1
7G34 3 1.3
8H41 7 22.2
8H41 1 5.1 1.2
8H41 3 1.1
8H42 1 1.1 2.2
8H42 7 1.1
8H43 7 5.1 1.2
8H44 7 2.1
7H41 7 25.1
7H41 1 5.1 2.2
7H42 7 34.1
7H42 1 4.1
7H43 7 19.1
7H43 1 4.1
7H43 6 1.2
7H44 7 29.1
7H44 1 12.1 1.2
8H11 7 12.1
8H12 0 0
8H13 7 5.1
8H13 9 1.1 1.2
8H14 7 4.1
8H31 2 1.2 1.3
8H31 7 1.1
8H32 3 1.1
8H33 2 1.3
8H33 7 1.1
8H34 3 1.1 6.2
8H34 5 5.1 1.2
8H21 7 14.1
8H21 2 1.3
8H22 3 3.2 2.2
8H22 7 1.1
8H22 1 1.1
8H23 13 13.2
8H23 7 4.1
8H24 7 16.1
8I21 7 8.1
8I21 1 2.1
8I22 0 0
8I23 0 0
8I24 1 2.1
8I24 7 1.1
8I31 7 5.1
8I31 1 2.1
8I32 1 1.2
8I32 7 2.1
8I33 1 1.1
8I34 7 3.1
8I34 1 9.1
6F31 7 14.1
6F31 1 13.1 1.2
6F32 1 4.1 2.2
6F32 7 19.1
6F32 2 1.2
6F33 7 15.1
6F33 4 1.2
6F33 2 1.2
6F33 1 1.1 1.2
6F34 1 5.1 1.2
6F34 7 17.1
6F34 3 1.1
6F34 2 1.2
8I11 7 21.1
8I11 25 1.1
8I12 7 12.1
8I13 1 2.1
8I13 7 6.1
8I13 25 1.2
8I13 2 1.1
8I14 7 20.1
8I14 1 3.1 2.2
8I14 25 1.1
