3E11   1.0   1.2
3E11   3.0   1.2
3E11   5.0   1.2   1.3
3E11   6.0   3.2
3E11   7.0   2.2
3E11  12.0   1.3
3E12   3.0   1.2
3E13   1.0   1.2
3E13   3.0   3.2
3E13   7.0   1.1
3E13  15.0   2.3
3E14   1.0   1.2
3E14   3.0   2.1   1.2
3E14  10.0   1.3
3E14  15.0   1.3
3E41   1.0   3.2
3E41   2.0   1.1
3E41   4.0   5.1
3E41   7.0   5.1   2.2
3E41   9.0   1.2
3E42   1.0   1.3
3E42   3.1   1.2
3E42   5.0   1.2
3E42   6.0   3.2
3E42  12.0   1.2   2.3
3E43   1.0   1.2
3E43   5.0   1.1   2.2
3E43   6.0   4.2
3E44   1.0   1.1
3E44   7.0   5.1
3E44   8.0   1.1
3F11   1.0   2.1   1.2
3F11   2.0   1.2
3F11   3.0   1.3
3F11   5.0   1.3
3F11   7.0   1.1
3F12   3.0   3.2   4.3
3F12   3.1   2.1   9.2
3F12   5.0   1.2
3F13   3.0   2.1   1.2   3.3
3F13   3.1   1.2
3F13   5.0   1.1   2.2
3F13   7.0   2.1
3F14   2.0   1.2
3F14   3.0   3.1   9.2   4.3
3F14   3.1   6.2
3F14   6.0   1.2
3F14   7.0   5.1
3F14   8.0   1.2
3F14  10.0   1.2
3F21   1.0   1.2
3F21   6.1   3.2
3F21   7.0   6.1
3F22   7.0   2.1
3F23   1.0   1.2
3F23   3.0   3.2
3F23   3.1   1.1   1.2
3F23   5.0   1.2
3F23   6.0   3.2
3F23  12.0   1.2
3F23  12.1   2.2   3.3
3F24   6.0   1.2
3F41   1.0   1.1   3.2
3F41   6.0   1.2
3F41   7.0   1.2
3F42   3.1   1.1   9.2
3F43   5.0   2.1
3F44   5.0   2.2
3F44   6.0   1.1
3F44   7.0   1.1   2.2
3G21   1.0   1.1   7.3
3G21   6.0   3.2   2.3
3G21   7.0   2.1   3.2
3G22   5.0   1.2
3G22   9.0   6.2
3G23   3.0   1.2
3G23   7.0   4.1
3G24   2.0   1.1
3G24   7.0   7.1   3.2
3G24   8.0   1.1   8.2
3G24   9.0   9.2   1.3
3G24  10.0   1.2
3H11   1.0   1.1
