YEAR,QUAD,PLOT,SPEC,FIASP,HT1,HT2,HT3,HT4
2009,3J2,1,7,316,4,0,0,0
2009,3J2,1,1,129,1,1,0,0
2009,3J2,1,3,012,2,0,0,0
2009,3J2,1,25,585,1,0,0,0
2009,3J2,2,3.1,012,0,3,0,0
2009,3J2,2,3,012,0,5,3,0
2009,3J2,2,25,585,1,0,0,0
2009,3J2,2,7,316,1,0,0,0
2009,3J2,3,25,585,1,0,0,0
2009,3J2,3,7,316,4,0,0,0
2009,3J2,3,4,261,0,0,1,0
2009,3J2,3,3,012,1,0,2,0
2009,3J2,4,7,316,4,0,0,0
2009,3J2,4,3,012,1,0,0,0
2009,3J2,4,1,129,3,1,0,0
2009,3J3,1,7,316,5,0,0,0
2009,3J3,1,2,097,0,1,0,0
2009,3J3,1,1,129,0,1,0,0
2009,3J3,2,1,129,5,7,1,0
2009,3J3,2,7,316,12,0,0,0
2009,3J3,2,3,012,1,0,0,0
2009,3J3,3,7,316,17,0,0,0
2009,3J3,3,3,012,1,0,0,0
2009,3J3,3,1,129,8,11,0,0
2009,3J3,3,2,097,3,0,0,0
2009,3J3,4,7,316,9,0,0,0
2009,3J3,4,3,012,0,9,0,0
2009,3J3,4,1,129,1,0,0,0
2009,3I4,1,7,316,6,0,0,0
2009,3I4,1,1,129,10,1,0,0
2009,3I4,2,1,129,6,6,0,0
2009,3I4,2,3,012,5,1,0,0
2009,3I4,2,7,316,8,1,0,0
2009,3I4,2,25.1,585,0,1,0,0
2009,3I4,3,7,316,8,3,0,0
2009,3I4,3,1,129,12,0,0,0
2009,3I4,3,3,012,6,0,0,0
2009,3I4,3,4,261,1,0,0,0
2009,3I4,4,1,129,4,0,0,0
2009,3I4,4,3,012,1,0,0,0
2009,3H1,1,1,129,3,0,0,0
2009,3H1,1,7,316,08,0,0,0
2009,3H1,2,7,316,80,0,0,0
2009,3H1,2,1,129,2,0,0,0
2009,3H1,2,8,371,1,3,0,0
2009,3H1,3,7,316,49,1,0,0
2009,3H1,3,1,129,2,0,0,0
2009,3H1,3,4,261,1,2,1,0
2009,3H1,4,2,097,3,3,0,0
2009,3H1,4,7,316,97,0,0,0
2009,3H1,4,4,261,2,0,0,0
2009,3H1,4,1,129,14,0,0,0
2009,3G2,1,7,316,7,0,0,0
2009,3G2,1,1,129,6,0,3,1
2009,3G2,1,3,012,1,0,0,0
2009,3G2,2,1,129,6,7,2,0
2009,3G2,2,2,097,1,1,1,0
2009,3G2,2,3,012,5,0,0,0
2009,3G2,2,7,316,6,1,0,0
2009,3G2,3,7,316,13,4,0,0
2009,3G2,3,1,129,2,10,11,0
2009,3G2,3,3,012,3,6,1,0
2009,3G2,3,2,097,0,0,1,0
2009,3G2,3,8,371,1,0,0,0
2009,3G2,4,1,129,1,3,1,0
2009,3G2,4,2,097,2,0,0,0
2009,3G2,4,3,012,5,0,0,0
2009,3G2,4,7,316,7,3,0,0
2009,3F1,1,7,316,66,0,0,0
2009,3F1,1,1,129,13,0,0,0
2009,3F1,1,2,097,0,0,1,0
2009,3F1,1,3,012,1,0,0,0
2009,3F1,2,7,316,58,0,0,0
2009,3F1,2,3,012,0,6,0,0
2009,3F1,2,1,129,5,0,0,0
2009,3F1,3,7,316,40,0,0,0
2009,3F1,3,3,012,2,1,1,0
2009,3F1,3,1,129,5,0,0,0
2009,3F1,4,7,316,93,0,0,0
2009,3F1,4,9,375,1,1,0,0
2009,3F1,4,3,012,9,3,1,0
2009,3F2,1,7,316,49,1,0,0
2009,3F2,1,1,129,8,0,0,0
2009,3F2,1,3,012,5,0,0,0
2009,3F2,1,5,833,1,0,0,0
2009,3F2,2,7,316,35,0,0,0
2009,3F2,2,1,129,4,0,0,0
2009,3F2,2,3,012,13,0,0,0
2009,3F2,3,7,316,16,0,0,0
2009,3F2,3,1,129,3,0,0,0
2009,3F2,3,3,012,2,0,0,0
2009,3F2,4,7,316,41,0,0,0
2009,3F2,4,3,012,2,0,0,0
2009,3F2,4,1,129,14,0,0,0
2009,3F2,4,2,097,0,1,0,0
2009,3F4,1,1,129,29,2,0,0
2009,3F4,1,7,316,1,1,0,0
2009,3F4,1,2,097,0,1,0,0
2009,3F4,2,3,012,0,8,0,0
2009,3F4,2,7,316,1,0,0,0
2009,3F4,2,1,129,1,0,0,0
2009,3F4,3,1,129,40,2,0,0
2009,3F4,3,2,097,0,1,0,0
2009,3F4,3,7,316,4,0,0,0
2009,3F4,3,6,802,0,1,0,0
2009,3F4,4,1,129,10,0,0,0
2009,3F4,4,7,316,8,0,0,0
2009,3F4,4,2,097,1,0,0,0
2009,3E1,1,7,316,3,4,0,0
2009,3E1,1,3,012,0,1,0,0
2009,3E1,2,7,316,5,3,0,0
2009,3E1,2,1,129,4,0,0,0
2009,3E1,3,7,316,11,6,0,0
2009,3E1,3,7.1,316,0,0,3,0
2009,3E1,3,3,012,0,4,2,0
2009,3E1,3,1,129,0,1,1,0
2009,3E1,4,3,012,0,2,0,0
2009,3E4,1,2,097,17,19,0,0
2009,3E4,1,4,261,6,8,0,0
2009,3E4,1,1,129,0,4,2,0
2009,3E4,1,7,316,3,0,0,0
2009,3E4,1,8,371,0,1,0,0
2009,3E4,2,7,316,2,0,0,0
2009,3E4,2,1,129,0,0,1,0
2009,3E4,2,2,097,5,9,0,0
2009,3E4,3,2,097,8,6,0,0
2009,3E4,3,1,129,5,2,0,0
2009,3E4,3,7,316,6,0,0,0
2009,3E4,4,1,129,5,1,0,0
2009,3E4,4,7,316,16,0,0,0
