YEAR,QUAD,PLOT,SPEC,FIASP,HT1,HT2,HT3,HT4
1992,3E1,1,1,129,0,1,0,0
1992,3E1,1,3,012,0,1,0,0
1992,3E1,1,5,833,0,1,1,0
1992,3E1,1,6,802,0,3,0,0
1992,3E1,1,7,316,0,2,0,0
1992,3E1,1,12,541,0,0,1,0
1992,3E1,2,3,012,0,1,0,0
1992,3E1,3,1,129,0,1,0,0
1992,3E1,3,3,012,0,3,0,0
1992,3E1,3,7,316,1,0,0,0
1992,3E1,3,15,746,0,0,2,0
1992,3E1,4,1,129,0,1,0,0
1992,3E1,4,3,012,2,1,0,0
1992,3E1,4,10,379,0,0,1,0
1992,3E1,4,15,746,0,0,1,0
1992,3E4,1,1,129,0,3,0,0
1992,3E4,1,2,097,1,0,0,0
1992,3E4,1,4,261,5,0,0,0
1992,3E4,1,7,316,5,2,0,0
1992,3E4,1,9,375,0,1,0,0
1992,3E4,2,1,129,0,0,1,0
1992,3E4,2,3.1,012,0,1,0,0
1992,3E4,2,5,833,0,1,0,0
1992,3E4,2,6,802,0,3,0,0
1992,3E4,2,12,541,0,1,2,0
1992,3E4,3,1,129,0,1,0,0
1992,3E4,3,5,833,1,2,0,0
1992,3E4,3,6,802,0,4,0,0
1992,3E4,4,1,129,1,0,0,0
1992,3E4,4,7,316,5,0,0,0
1992,3E4,4,8,371,1,0,0,0
1992,3F1,1,1,129,2,1,0,0
1992,3F1,1,2,097,0,1,0,0
1992,3F1,1,3,012,0,0,1,0
1992,3F1,1,5,833,0,0,1,0
1992,3F1,1,7,316,1,0,0,0
1992,3F1,2,3,012,0,3,4,0
1992,3F1,2,3.1,012,2,9,0,0
1992,3F1,2,5,833,0,1,0,0
1992,3F1,3,3,012,2,1,3,0
1992,3F1,3,3.1,012,0,1,0,0
1992,3F1,3,5,833,1,2,0,0
1992,3F1,3,7,316,2,0,0,0
1992,3F1,4,2,097,0,1,0,0
1992,3F1,4,3,012,3,9,4,0
1992,3F1,4,3.1,012,0,6,0,0
1992,3F1,4,6,802,0,1,0,0
1992,3F1,4,7,316,5,0,0,0
1992,3F1,4,8,371,0,1,0,0
1992,3F1,4,10,379,0,1,0,0
1992,3F2,1,1,129,0,1,0,0
1992,3F2,1,6.1,802,0,3,0,0
1992,3F2,1,7,316,6,0,0,0
1992,3F2,2,7,316,2,0,0,0
1992,3F2,3,1,129,0,1,0,0
1992,3F2,3,3,012,0,3,0,0
1992,3F2,3,3.1,012,1,1,0,0
1992,3F2,3,5,833,0,1,0,0
1992,3F2,3,6,802,0,3,0,0
1992,3F2,3,12,541,0,1,0,0
1992,3F2,3,12.1,541,0,2,3,0
1992,3F2,4,6,802,0,1,0,0
1992,3F4,1,1,129,1,3,0,0
1992,3F4,1,6,802,0,1,0,0
1992,3F4,1,7,316,0,1,0,0
1992,3F4,2,3.1,012,1,9,0,0
1992,3F4,3,5,833,2,0,0,0
1992,3F4,4,5,833,0,2,0,0
1992,3F4,4,6,802,1,0,0,0
1992,3F4,4,7,316,1,2,0,0
1992,3G2,1,1,129,1,0,7,0
1992,3G2,1,6,802,0,3,2,0
1992,3G2,1,7,316,2,3,0,0
1992,3G2,2,5,833,0,1,0,0
1992,3G2,2,9,375,0,6,0,0
1992,3G2,3,3,012,0,1,0,0
1992,3G2,3,7,316,4,0,0,0
1992,3G2,4,2,097,1,0,0,0
1992,3G2,4,7,316,7,3,0,0
1992,3G2,4,8,371,1,8,0,0
1992,3G2,4,9,375,0,9,1,0
1992,3G2,4,10,379,0,1,0,0
1992,3H1,1,1,129,1,0,0,0
1992,3H1,1,7,316,1,0,0,0
1992,3H1,2,1,129,1,0,0,0
1992,3H1,2,2,097,0,0,1,0
1992,3H1,2,4.1,261,3,0,0,0
1992,3H1,2,5,833,0,4,0,0
1992,3H1,2,7,316,5,0,0,0
1992,3H1,3,1,129,1,1,0,0
1992,3H1,3,2,097,1,0,0,0
1992,3H1,3,4,261,0,0,2,0
1992,3H1,3,7,316,2,2,0,0
1992,3H1,4,1,129,2,0,0,0
1992,3H1,4,2,097,2,0,0,0
1992,3H2,1,7,316,1,0,0,0
1992,3H2,2,2,097,3,1,0,0
1992,3H2,2,4,261,0,1,0,0
1992,3H2,2,5,833,0,0,0,2
1992,3H2,2,7,316,2,1,0,0
1992,3H2,3,2,097,1,0,0,0
1992,3H2,3,4,261,0,1,0,0
1992,3H2,4,7,316,1,0,0,0
1992,3H3,1,1,129,0,2,0,0
1992,3H3,1,2,097,1,0,0,0
1992,3H3,1,4,261,1,0,0,0
1992,3H3,1,7,316,0,1,0,0
1992,3H3,2,1,129,0,3,0,0
1992,3H3,2,1,129,0,2,0,0
1992,3H3,2,4,261,0,0,1,0
1992,3H3,2,7,316,0,1,0,0
1992,3H3,2,7.1,316,0,1,0,2
1992,3H3,3,1,129,0,1,0,0
1992,3H3,3,2,097,0,0,3,0
1992,3H3,3,5,833,1,0,0,0
1992,3H3,3,7,316,1,0,0,0
1992,3H3,3,7,316,1,0,0,0
1992,3H3,4,1,129,0,1,0,0
1992,3H3,4,2,097,0,2,0,0
1992,3H3,4,3.1,012,0,1,0,0
1992,3H3,4,5,833,0,2,0,0
1992,3H3,4,7,316,0,1,0,0
1992,3H3,4,7,316,2,6,0,0
1992,3I4,1,1,129,2,2,0,0
1992,3I4,1,7,316,3,1,0,0
1992,3I4,1,25,585,0,3,0,0
1992,3I4,2,1,129,1,0,0,1
1992,3I4,2,2,097,1,0,0,0
1992,3I4,2,3,012,1,0,0,0
1992,3I4,2,7,316,0,1,0,0
1992,3I4,2,9,375,0,1,0,0
1992,3I4,2,25,585,0,1,0,0
1992,3I4,3,2,097,0,1,0,0
1992,3I4,4,1,129,1,1,0,0
1992,3J2,1,1,129,1,1,0,0
1992,3J2,1,5,833,0,1,0,0
1992,3J2,1,7,316,0,1,0,0
1992,3J2,1,25,585,1,0,0,0
1992,3J2,2,3,012,0,0,2,1
1992,3J2,2,3.1,012,0,6,0,0
1992,3J2,2,7,316,1,0,0,0
1992,3J2,3,3,012,0,4,1,0
1992,3J2,4,2,097,0,3,0,0
1992,3J3,1,2,097,0,1,0,0
1992,3J3,1,5,833,0,1,0,0
1992,3J3,1,5.1,833,0,0,0,4
1992,3J3,2,1,129,0,1,0,0
1992,3J3,2,3.1,012,1,0,1,0
1992,3J3,2,7,316,5,2,0,0
1992,3J3,2,9,375,0,1,0,0
1992,3J3,2,10,379,0,2,1,0
1992,3J3,2,25,585,0,1,0,0
1992,3J3,3,2,097,0,1,0,0
1992,3J3,3,3,012,0,1,0,0
1992,3J3,3,7,316,1,0,0,0
1992,3J3,4,3,012,0,4,0,0
1992,3J3,4,3.1,012,0,4,0,0
