YEAR,QUAD,PLOT,SPEC,FIASP,HT1,HT2,HT3,HT4
1997,3E1,1,7,316,2,2,0,0
1997,3E1,1,1,129,77,3,0,0
1997,3E1,1,5,833,0,1,0,0
1997,3E1,1,3,012,0,1,0,0
1997,3E1,1,12,541,0,1,0,0
1997,3E1,1,6,802,0,1,1,0
1997,3E1,2,5,833,0,1,1,0
1997,3E1,2,3,012,0,0,1,0
1997,3E1,2,1,129,9,1,0,0
1997,3E1,3,1,129,49,1,0,0
1997,3E1,3,3,012,1,5,0,0
1997,3E1,3,15,746,0,1,0,0
1997,3E1,3,7,316,0,1,0,0
1997,3E1,4,7,316,1,0,0,0
1997,3E1,4,1,129,33,0,0,0
1997,3E1,4,15,746,0,4,1,0
1997,3E1,4,3,012,0,2,0,0
1997,3E1,4,5,833,0,1,0,0
1997,3E4,1,1,129,11,0,2,0
1997,3E4,1,4,261,0,11,0,0
1997,3E4,1,7,316,7,1,0,0
1997,3E4,1,8,371,0,2,0,0
1997,3E4,1,9,375,0,2,0,0
1997,3E4,1,5,833,0,1,0,0
1997,3E4,1,2,097,0,1,0,0
1997,3E4,2,1,129,0,0,1,0
1997,3E4,2,6,802,0,4,0,0
1997,3E4,2,5,833,0,1,0,0
1997,3E4,2,12,541,0,0,1,0
1997,3E4,3,1,129,21,1,0,0
1997,3E4,3,4,261,3,2,0,0
1997,3E4,3,7,316,2,1,0,0
1997,3E4,3,5,833,0,3,0,0
1997,3E4,3,6,802,0,1,0,0
1997,3E4,4,1,129,7,1,0,0
1997,3E4,4,7,316,8,0,0,0
1997,3E4,4,4,261,5,0,0,0
1997,3E4,4,6,802,0,1,0,0
1997,3F1,1,2,097,1,1,0,0
1997,3F1,1,5,833,0,2,0,0
1997,3F1,1,3,012,0,0,0,1
1997,3F1,1,1,129,30,0,0,0
1997,3F1,2,3,012,0,9,3,1
1997,3F1,2,7,316,1,0,0,0
1997,3F1,2,1,129,4,0,0,0
1997,3F1,3,5,833,0,1,0,0
1997,3F1,3,3,012,0,2,2,0
1997,3F1,3,1,129,3,0,0,0
1997,3F1,4,7,316,6,0,0,0
1997,3F1,4,3,012,1,6,0,2
1997,3F1,4,2,097,0,2,0,0
1997,3F1,4,1,129,13,0,0,0
1997,3F2,1,7,316,1,2,0,0
1997,3F2,1,9,375,1,0,0,0
1997,3F2,1,6,802,0,1,0,0
1997,3F2,1,1,129,3,0,0,0
1997,3F2,2,3,012,0,2,0,0
1997,3F2,2,1,129,1,0,0,0
1997,3F2,3,6,802,0,1,0,0
1997,3F2,3,3,012,1,1,1,0
1997,3F2,3,7,316,4,0,0,0
1997,3F2,3,1,129,9,1,0,0
1997,3F2,3,12,541,0,2,5,0
1997,3F2,4,6,802,0,0,1,0
1997,3F2,4,2,097,0,2,0,0
1997,3F2,4,7,316,5,0,0,0
1997,3F2,4,1,129,20,0,0,0
1997,3F4,1,7,316,1,0,0,0
1997,3F4,1,1,129,77,2,0,0
1997,3F4,2,3,012,0,3,1,0
1997,3F4,2,1,129,2,0,0,0
1997,3F4,3,6,802,0,2,0,0
1997,3F4,3,1,129,56,0,0,0
1997,3F4,3,7,316,1,0,0,0
1997,3F4,4,5,833,1,2,0,0
1997,3F4,4,7,316,1,0,0,0
1997,3F4,4,1,129,46,0,0,0
1997,3G2,1,1,129,2,0,1,1
1997,3G2,1,6,802,0,0,2,0
1997,3G2,2,1,129,19,0,0,0
1997,3G2,2,7,316,8,2,0,0
1997,3G2,2,25,585,0,1,1,0
1997,3G2,2,5,833,0,0,1,0
1997,3G2,2,2,097,1,0,0,0
1997,3G2,3,3,012,1,0,1,0
1997,3G2,3,7,316,3,1,0,0
1997,3G2,3,8,371,0,0,2,0
1997,3G2,3,1,129,29,0,0,0
1997,3G2,4,9,375,0,2,1,0
1997,3G2,4,7,316,4,7,0,0
1997,3G2,4,1,129,3,4,0,0
1997,3G2,4,8,371,0,3,4,0
1997,3G2,4,2,097,0,1,0,0
1997,3H1,1,7,316,19,0,0,0
1997,3H1,1,5,833,0,1,0,0
1997,3H1,1,1,129,24,0,0,0
1997,3H1,2,2,097,1,0,0,0
1997,3H1,2,7,316,8,0,0,0
1997,3H1,2,4,261,3,0,0,0
1997,3H1,2,1,129,13,0,0,0
1997,3H1,3,7,316,16,0,0,0
1997,3H1,3,2,097,0,0,1,0
1997,3H1,3,4,261,0,0,1,0
1997,3H1,3,1,129,17,0,0,0
1997,3H1,4,4,261,7,0,0,0
1997,3H1,4,5,833,0,1,0,0
1997,3H1,4,2,097,1,2,0,0
1997,3H1,4,7,316,27,3,0,0
1997,3H1,4,1,129,35,0,0,0
1997,3H2,1,7,316,6,0,0,0
1997,3H2,1,1,129,4,0,0,0
1997,3H2,2,4,261,0,1,0,0
1997,3H2,2,7,316,15,0,0,0
1997,3H2,2,2,097,0,1,0,0
1997,3H2,2,1,129,32,0,0,0
1997,3H2,3,4,261,0,2,0,0
1997,3H2,3,1,129,23,0,0,0
1997,3H2,3,7,316,3,0,0,0
1997,3H2,3,5,833,1,0,0,0
1997,3H2,4,1,129,1,0,0,0
1997,3H2,4,7,316,4,0,0,0
1997,3H2,4,5,833,1,0,0,0
1997,3H2,4,2,097,1,0,0,0
1997,3H3,1,1,129,12,1,0,0
1997,3H3,1,2,097,0,1,0,0
1997,3H3,1,8,371,0,2,0,0
1997,3H3,1,7,316,0,1,0,0
1997,3H3,1,4,261,0,1,0,0
1997,3H3,1,9,375,1,0,0,0
1997,3H3,2,7,316,5,0,0,0
1997,3H3,2,1,129,26,2,0,0
1997,3H3,3,4,261,0,0,1,0
1997,3H3,3,1,129,4,1,0,0
1997,3H3,4,7,316,5,0,0,0
1997,3H3,4,1,129,7,1,0,0
1997,3H3,4,4,261,1,0,0,0
1997,3H3,4,2,097,0,1,0,0
1997,3I4,1,7,316,7,0,0,0
1997,3I4,1,1,129,26,3,1,0
1997,3I4,1,25,585,0,3,0,0
1997,3I4,2,9,375,0,1,0,0
1997,3I4,2,7,316,3,1,0,0
1997,3I4,2,1,129,41,2,0,0
1997,3I4,2,25,585,0,1,0,0
1997,3I4,2,2,097,0,1,0,0
1997,3I4,2,3,012,0,1,0,0
1997,3I4,3,4,261,1,0,0,0
1997,3I4,3,7,316,7,0,0,0
1997,3I4,3,1,129,26,0,0,0
1997,3I4,3,3,012,1,0,0,0
1997,3I4,4,7,316,2,0,0,0
1997,3I4,4,1,129,7,1,0,0
1997,3J2,1,1,129,23,0,0,0
1997,3J2,2,4,261,3,1,0,0
1997,3J2,2,3,012,0,0,2,0
1997,3J2,2,7,316,1,0,0,0
1997,3J2,3,1,129,65,0,0,0
1997,3J2,3,7,316,6,0,0,0
1997,3J2,3,3,012,1,3,2,0
1997,3J2,3,6,802,1,0,0,0
1997,3J2,3,4,261,0,1,0,0
1997,3J2,4,25,585,0,1,0,0
1997,3J2,4,1,129,42,0,0,0
1997,3J3,1,1,129,27,0,0,0
1997,3J3,1,7,316,3,1,0,0
1997,3J3,1,5,833,1,1,0,0
1997,3J3,1,2,097,0,0,1,0
1997,3J3,2,1,129,4,1,0,0
1997,3J3,2,3,012,1,0,1,0
1997,3J3,2,7,316,3,0,1,0
1997,3J3,2,25,585,0,1,0,0
1997,3J3,2,9,375,0,1,0,0
1997,3J3,3,2,097,0,0,1,0
1997,3J3,3,7,316,6,0,0,0
1997,3J3,3,1,129,17,1,0,0
1997,3J3,3,3,012,0,2,0,0
1997,3J3,3,5,833,1,0,0,0
1997,3J3,3,25,585,0,1,0,0
1997,3J3,4,1,129,29,0,0,0
1997,3J3,4,3,012,0,8,1,0
1997,3J3,4,7,316,6,0,0,0
1997,4E1,1,3,012,0,0,1,0
1997,4E1,1,1,129,13,0,0,0
1997,4E1,2,7,316,13,0,0,0
1997,4E1,2,1,129,49,0,0,0
1997,4E1,3,1,129,65,6,0,0
1997,4E1,3,2,097,0,1,0,0
1997,4E1,3,7,316,2,0,0,0
1997,4E1,4,1,129,26,2,0,0
1997,4E2,1,2,097,0,1,0,0
1997,4E2,1,5,833,1,0,0,0
1997,4E2,1,7,316,2,0,1,0
1997,4E2,1,9,375,1,0,0,0
1997,4E2,1,8,371,0,0,1,1
1997,4E2,1,1,129,80,0,0,0
1997,4E2,2,7,316,2,0,0,0
1997,4E2,2,3,012,1,0,0,0
1997,4E2,2,1,129,41,0,0,0
1997,4E2,3,7,316,1,0,0,0
1997,4E2,3,1,129,35,0,0,0
1997,4E2,4,7,316,4,0,0,0
1997,4E2,4,6,802,0,2,0,0
1997,4E2,4,5,833,1,0,0,0
1997,4E2,4,1,129,52,0,0,0
1997,4E3,1,1,129,64,1,0,0
1997,4E3,1,4,261,2,0,0,0
1997,4E3,1,7,316,1,4,0,0
1997,4E3,2,1,129,18,0,0,0
1997,4E3,2,7,316,1,0,0,0
1997,4E3,3,1,129,30,0,0,0
1997,4E3,3,7,316,3,0,0,0
1997,4E3,3,4,261,1,0,0,0
1997,4E3,4,1,129,35,0,1,0
1997,4E3,4,7,316,2,1,0,0
1997,4E3,4,5,833,1,0,0,0
1997,4E4,1,5,833,2,0,0,0
1997,4E4,1,8,371,2,0,0,0
1997,4E4,1,1,129,14,0,0,0
1997,4E4,2,1,129,9,0,0,0
1997,4E4,3,1,129,6,0,0,0
1997,4E4,4,1,129,14,0,0,0
1997,4F1,1,1,129,4,0,0,0
1997,4F1,2,7,316,1,0,0,0
1997,4F1,3,1,129,4,0,0,0
1997,4F1,4,7,316,1,2,0,0
1997,4F1,4,5,833,0,2,2,0
1997,4F1,4,1,129,5,0,0,0
1997,4F2,1,7,316,4,0,0,0
1997,4F2,1,5,833,1,0,0,0
1997,4F2,1,1,129,22,0,0,0
1997,4F2,2,0,000,0,0,0,0
1997,4F2,3,0,000,0,0,0,0
1997,4F2,4,0,000,0,0,0,0
1997,4F3,1,8,371,0,1,0,0
1997,4F3,1,7,316,13,0,0,0
1997,4F3,1,1,129,17,4,3,0
1997,4F3,1,5,833,0,0,2,0
1997,4F3,2,1,129,6,1,0,0
1997,4F3,2,7,316,4,0,0,0
1997,4F3,2,5,833,0,1,0,0
1997,4F3,3,5,833,0,0,1,0
1997,4F3,3,7,316,2,2,0,0
1997,4F3,3,1,129,5,0,1,0
1997,4F3,4,7,316,17,0,0,0
1997,4F3,4,1,129,20,0,0,0
1997,4F4,1,7,316,2,0,0,0
1997,4F4,1,1,129,2,0,0,0
1997,4F4,2,7,316,5,0,0,0
1997,4F4,3,5,833,0,1,0,0
1997,4F4,3,7,316,1,1,0,0
1997,4F4,4,7,316,6,0,0,0
1997,4F4,4,1,129,5,0,0,0
1997,4F4,4,9,375,0,1,0,0
1997,4G1,1,5,833,1,0,0,0
1997,4G1,1,7,316,1,0,0,0
1997,4G1,1,1,129,9,2,1,0
1997,4G1,1,6,802,0,8,2,0
1997,4G1,2,2,097,0,2,0,0
1997,4G1,2,1,129,14,2,2,1
1997,4G1,2,3,012,1,3,0,0
1997,4G1,2,7,316,9,1,0,0
1997,4G1,2,8,371,1,0,0,0
1997,4G1,3,3,012,0,2,0,0
1997,4G1,3,7,316,2,0,0,0
1997,4G1,3,1,129,2,1,0,0
1997,4G1,4,3,012,0,2,1,0
1997,4G1,4,1,129,2,1,0,0
1997,4G1,4,5,833,0,1,0,0
1997,4G1,4,6,802,0,0,2,0
1997,4G1,4,7,316,1,0,0,0
1997,4G2,1,1,129,23,2,1,0
1997,4G2,1,5,833,0,2,1,0
1997,4G2,1,7,316,6,1,0,0
1997,4G2,2,1,129,17,0,0,0
1997,4G2,2,3,012,0,5,0,0
1997,4G2,2,7,316,2,1,1,0
1997,4G2,3,5,833,0,1,0,0
1997,4G2,3,7,316,1,0,0,0
1997,4G2,3,6,802,0,1,0,0
1997,4G2,3,1,129,22,0,3,0
1997,4G2,3,4,261,0,1,0,0
1997,4G2,4,7,316,8,4,4,0
1997,4G2,4,1,129,31,3,0,0
1997,4H1,1,5,833,0,1,0,0
1997,4H1,1,1,129,4,0,0,0
1997,4H1,2,1,129,41,4,0,0
1997,4H1,2,5,833,0,1,0,0
1997,4H1,2,2,097,0,0,1,0
1997,4H1,3,1,129,18,2,0,0
1997,4H1,3,2,097,0,0,1,0
1997,4H1,3,6,802,0,1,0,0
1997,4H1,4,5,833,0,1,0,0
1997,4H1,4,1,129,3,0,0,0
