5G1A.4   9.0   1.2
5G1A.4   8.0   4.2
4G2B.1   6.0   1.3
4G2B.1   5.0   2.3
4G2B.1   7.0   2.2
4G2B.1   1.0   2.3
4G2B.2  10.0   2.3
4G2B.2   7.0   2.2   4.3
4G2B.2   1.0   1.3
4G2B.3   1.0   2.3
4G2B.3   7.0   2.1   3.3
4G2B.3   5.0   1.2   2.3
4G2B.3   9.0   1.3
4G2B.4   7.0   1.1   1.2   1.3
5E3B.1   3.1   3.2
5E3B.1   3.0   4.2  10.3
5E3B.2   7.0   2.2
5E3B.2   3.1   1.2
5E3B.2   5.0   1.2
5E3B.3   7.0   2.1   4.2
5E3B.3   8.0   3.1   4.2
5E3B.3   1.0   3.2
5E3B.3   5.0   1.1
5E3B.4   4.0   2.1
5E3B.4   8.0   4.2
5E3B.4   7.0   2.1   2.2
5E3B.4   1.0   2.2
5E3B.4   3.0   1.2
5E3B.4   9.0   1.2
5E3F.1   2.0   2.2
5E3F.1   3.1   5.2   3.3
5E3F.2   7.0   5.1   1.2
5E3F.2   1.0   1.1   3.2
5E3F.2   5.0   1.2
5E3F.3   8.0   4.1   4.2
5E3F.3   7.0   3.1   2.2
5E3F.3   1.0   1.1   1.2
5E3F.3   3.0   1.2
5E3F.3   9.0   4.1   7.2
5E3F.4   1.0   2.1
5E3F.4   7.0   3.2
5E3F.4   5.0   1.2
5E3F.4   9.0   5.2   4.3
5E3F.4   8.0   5.2
5E3F.4   6.0   1.2   3.3
5E3F.4   3.0   1.1   1.2   1.3
5E1D.1   8.0   2.2   3.3
5E1D.1   7.0   2.2
5E1D.2   4.0   1.2
5E1D.2   8.0   1.2
5E1D.2   9.0   1.2
5E1D.2   7.0   2.2
5E1D.3   7.0   2.1   1.2   1.3
5E1D.3   4.0   2.1   4.2
5E1D.3   8.0  17.2   7.3
5E1D.3   9.0   1.2   1.3
5E1D.4   7.0   2.1
5E1D.4   1.0   1.1
5E2A.1   7.0   1.1   6.2
5E2A.1   8.0   1.1   2.2   1.3
