YEAR,GAP,PLOT,SPEC,FIASP,HT1,HT2,HT3,HT4
1992,3J1A,1,5,833,0,2,0,0
1992,3J1A,1,1,129,0,1,0,0
1992,3J1A,1,2,097,0,0,1,0
1992,3J1A,1,7,316,1,4,0,0
1992,3J1A,2,1,129,1,0,0,0
1992,3J1A,2,7,316,2,1,0,0
1992,3J1A,2,2,097,0,1,0,0
1992,3J1A,2,5,833,1,1,0,0
1992,3J1A,3,1,129,0,2,0,0
1992,3J1A,3,7,316,1,0,0,0
1992,3J1A,4,0,000,0,0,0,0
1992,3J2C,1,7,316,1,1,0,0
1992,3J2C,1,5,833,0,1,0,0
1992,3J2C,2,25.1,585,0,2,0,0
1992,3J2C,2,7.1,316,0,1,7,2
1992,3J2C,2,1,129,0,2,0,0
1992,3J2C,2,7,316,1,1,0,0
1992,3J2C,3,1,129,1,0,0,0
1992,3J2C,3,7,316,2,5,0,0
1992,3J2C,3,5.1,833,0,2,0,0
1992,3J2C,3,9,375,0,1,0,0
1992,3J2C,3,25,585,0,1,0,0
1992,3J2C,4,1,129,1,3,0,0
1992,3J2C,4,7,316,5,2,0,0
1992,3J2C,4,2,097,0,1,0,0
1992,3J2C,4,3,012,0,2,0,0
1992,4I1B,1,5,833,0,1,0,0
1992,4I1B,2,7,316,0,3,0,0
1992,4I1B,2,1,129,0,1,0,0
1992,4I1B,2,5,833,0,1,0,0
1992,4I1B,3,7,316,1,0,0,0
1992,4I1B,3,4,261,0,1,0,0
1992,4I1B,4,0,000,0,0,0,0
1992,5J1D,1,1,129,0,1,2,0
1992,5J1D,1,25,585,0,1,7,3
1992,5J1D,1,7,316,0,0,3,0
1992,5J1D,2,25.1,585,0,0,2,0
1992,5J1D,2,7,316,0,0,0,1
1992,5J1D,2,1,129,0,1,1,0
1992,5J1D,2,25,585,2,1,1,0
1992,5J1D,2,5.1,833,0,0,5,3
1992,5J1D,3,5,833,0,1,0,0
1992,5J1D,4,1,129,0,3,1,0
1992,5J1D,4,7,316,1,0,0,0
1992,4I2A,1,0,000,0,0,0,0
1992,4I2A,2,7,316,1,0,0,0
1992,4I2A,3,1,129,0,1,0,0
1992,4I2A,3,7,316,1,0,0,0
1992,4I2A,4,0,000,0,0,0,0
1992,4I2A,4,0,000,0,0,0,0
1992,3G4D,1,9,375,95,2,0,0
1992,3G4D,1,2,097,1,0,0,0
1992,3G4D,1,8,371,0,1,0,0
1992,3G4D,1,7,316,1,0,0,0
