YEAR,GAP,PLOT,SPEC,FIASP,HT1,HT2,HT3,HT4
1992,3G4D,2,1,129,0,1,0,0
1992,3G4D,2,8,371,0,4,1,0
1992,3G4D,2,9,375,7,6,0,0
1992,3G4D,2,4,261,1,1,0,0
1992,3G4D,3,7,316,2,0,0,0
1992,3G4D,3,4,261,1,1,0,0
1992,3G4D,3,8,371,4,5,0,0
1992,3G4D,4,9,375,2,0,0,0
1992,3G4D,4,8,371,2,1,0,0
1992,3G4D,4,7,316,3,0,0,0
1992,3G4D,4,4,261,2,1,0,0
1992,3G2B,1,5,833,0,1,4,0
1992,3G2B,1,6,802,0,1,1,0
1992,3G2B,2,7,316,0,2,0,0
1992,3G2B,2,1,129,1,0,0,0
1992,3G2B,3,7,316,0,2,0,0
1992,3G2B,3,1,129,0,2,1,0
1992,3G2B,3,8,371,0,3,0,0
1992,3G2B,4,7,316,1,2,2,0
1992,3G2B,4,5,833,0,0,4,0
1992,3G2B,4,6,802,0,1,4,0
1992,3G2B,4,1,129,0,1,0,0
1992,3E1C,1,10,379,0,0,8,2
1992,3E1C,1,7,316,0,2,3,0
1992,3E1C,1,16,762,0,1,0,0
1992,3E1C,1,15,746,0,0,1,0
1992,3E1C,2,9,375,0,0,1,0
1992,3E1C,2,15,746,0,0,3,0
1992,3E1C,2,10,379,0,0,1,0
1992,3E1C,2,3,012,0,1,0,0
1992,3E1C,3,7,316,1,1,5,1
1992,3E1C,3,5,833,0,1,1,1
1992,3E1C,3,15,746,0,0,1,0
1992,3E1C,4,15,746,0,0,0,1
1992,3E1C,4,12,541,0,0,1,0
1992,3E1C,4,7,316,0,0,1,0
1992,3E2A,1,10,379,0,0,1,0
1992,3E2A,1,7,316,0,0,1,0
1992,3E2A,1,8,371,0,1,5,0
1992,3E2A,1,1,129,0,1,0,0
1992,3E2A,1,9,375,0,1,6,0
1992,3E2A,2,7,316,0,1,0,0
1992,3E2A,3,1,129,0,2,0,0
1992,3E2A,3,7,316,0,1,0,0
1992,3E2A,4,1,129,0,2,0,0
1992,3E2A,4,7,316,0,2,0,0
1992,3E2A,4,3,012,0,1,0,0
1992,4F1B,1,6,802,0,0,1,0
1992,4F1B,1,1,129,0,0,1,0
1992,4F1B,2,5,833,0,0,1,0
1992,4F1B,2,7,316,1,0,0,0
1992,4F1B,3,7,316,3,1,0,0
1992,4F1B,3,1,129,1,0,0,0
1992,4F1B,4,7,316,1,0,0,0
1992,4F2C,1,0,000,0,0,0,0
1992,4F2C,2,5,833,0,0,1,0
1992,4F2C,3,6,802,1,0,0,0
1992,4F2C,4,0,000,0,0,0,0
1992,4F2A,1,7,316,0,1,0,0
1992,4F2A,2,0,000,0,0,0,0
1992,4F2A,3,5,833,0,1,0,0
1992,4F2A,4,0,000,0,0,0,0
1992,4F4A,1,0,000,0,0,0,0
1992,4F4A,2,0,000,0,0,0,0
1992,4F4A,3,7,316,1,1,0,0
1992,4F4A,4,0,000,0,0,0,0
1992,4F1A,1,0,000,0,0,0,0
1992,4F1A,2,1,129,0,2,0,0
1992,4F1A,2,7,316,1,0,0,0
1992,4F1A,2,5,833,0,1,1,0
1992,4F1A,3,5,833,1,0,0,0
1992,4F1A,4,0,000,0,0,0,0
1992,4F3A,1,0,000,0,0,0,0
1992,4F3A,2,8,371,1,0,0,0
1992,4F3A,2,1,129,0,1,0,0
1992,4F3A,3,1,129,1,1,1,0
1992,4F3A,3,5,833,0,1,1,0
1992,4F3A,3,7,316,0,1,0,0
1992,4F3A,4,0,000,0,0,0,0
1992,4G1B,1,1,129,0,0,2,0
1992,4G1B,1,7,316,0,0,1,0
1992,4G1B,1,5,833,0,0,1,0
1992,4G1B,2,5,833,1,1,0,0
1992,4G1B,2,1,129,0,0,1,0
1992,4G1B,3,5,833,0,1,0,0
1992,4G1B,3,9,375,0,2,1,0
1992,4G1B,3,7,316,5,7,2,0
1992,4G1B,3,5.1,833,0,2,0,0
1992,4G1B,4,7,316,1,2,0,0
1992,4G1B,4,1,129,1,1,2,0
1992,4G2C,1,1,129,1,0,0,0
1992,4G2C,2,0,000,0,0,0,0
1992,4G2C,3,0,000,0,0,0,0
1992,4G2C,4,7,316,1,0,0,0
1992,5G1A,1,16,762,0,2,0,0
1992,5G1A,1,7,316,0,8,0,0
1992,5G1A,1,1,129,0,1,1,0
1992,5G1A,1,5,833,0,1,0,0
1992,5G1A,1,9,375,0,1,0,0
1992,5G1A,2,12,541,0,0,3,0
1992,5G1A,2,7,316,0,2,1,0
1992,5G1A,2,3,012,0,0,1,0
1992,5G1A,2,6,802,0,0,1,0
1992,5G1A,2,5,833,0,1,0,0
1992,5G1A,2,1,129,0,1,0,0
1992,5G1A,3,7,316,0,1,3,0
1992,5G1A,3,9,375,0,6,0,0
1992,5G1A,3,10,379,0,0,1,0
1992,5G1A,4,7,316,0,7,0,0
1992,5G1A,4,1,129,0,1,0,0
1992,5G1A,4,9,375,0,1,0,0
1992,5G1A,4,8,371,0,4,0,0
1992,4G2B,1,6,802,0,0,1,0
1992,4G2B,1,5,833,0,0,2,0
1992,4G2B,1,7,316,0,2,0,0
1992,4G2B,1,1,129,0,0,2,0
1992,4G2B,2,10,379,0,0,2,0
1992,4G2B,2,7,316,0,2,4,0
1992,4G2B,2,1,129,0,0,1,0
1992,4G2B,3,1,129,0,0,2,0
1992,4G2B,3,7,316,2,0,3,0
1992,4G2B,3,5,833,0,1,2,0
1992,4G2B,3,9,375,0,0,1,0
1992,4G2B,4,7,316,1,1,1,0
1992,5E3B,1,3.1,012,0,3,0,0
1992,5E3B,1,3,012,0,4,10,0
1992,5E3B,2,7,316,0,2,0,0
1992,5E3B,2,3.1,012,0,1,0,0
1992,5E3B,2,5,833,0,1,0,0
1992,5E3B,3,7,316,2,4,0,0
1992,5E3B,3,8,371,3,4,0,0
1992,5E3B,3,1,129,0,3,0,0
1992,5E3B,3,5,833,1,0,0,0
1992,5E3B,4,4,261,2,0,0,0
1992,5E3B,4,8,371,0,4,0,0
1992,5E3B,4,7,316,2,2,0,0
1992,5E3B,4,1,129,0,2,0,0
1992,5E3B,4,3,012,0,1,0,0
1992,5E3B,4,9,375,0,1,0,0
1992,5E3F,1,2,097,0,2,0,0
1992,5E3F,1,3.1,012,0,5,3,0
1992,5E3F,2,7,316,5,1,0,0
1992,5E3F,2,1,129,1,3,0,0
1992,5E3F,2,5,833,0,1,0,0
1992,5E3F,3,8,371,4,4,0,0
1992,5E3F,3,7,316,3,2,0,0
1992,5E3F,3,1,129,1,1,0,0
1992,5E3F,3,3,012,0,1,0,0
1992,5E3F,3,9,375,4,7,0,0
1992,5E3F,4,1,129,2,0,0,0
1992,5E3F,4,7,316,0,3,0,0
1992,5E3F,4,5,833,0,1,0,0
1992,5E3F,4,9,375,0,5,4,0
1992,5E3F,4,8,371,0,5,0,0
1992,5E3F,4,6,802,0,1,3,0
1992,5E3F,4,3,012,1,1,1,0
1992,5E1D,1,8,371,0,2,3,0
1992,5E1D,1,7,316,0,2,0,0
1992,5E1D,2,4,261,0,1,0,0
1992,5E1D,2,8,371,0,1,0,0
1992,5E1D,2,9,375,0,1,0,0
1992,5E1D,2,7,316,0,2,0,0
1992,5E1D,3,7,316,2,1,1,0
1992,5E1D,3,4,261,2,4,0,0
1992,5E1D,3,8,371,0,17,7,0
1992,5E1D,3,9,375,0,1,1,0
1992,5E1D,4,7,316,2,0,0,0
1992,5E1D,4,1,129,1,0,0,0
1992,5E2A,1,7,316,1,6,0,0
1992,5E2A,1,8,371,1,2,1,0
1992,5E2A,1,5,833,0,0,3,0
1992,5E2A,2,7,316,5,7,6,2
1992,5E2A,2,8,371,0,0,3,0
1992,5E2A,2,16,762,0,0,2,0
1992,5E2A,2,3,012,0,1,0,0
1992,5E2A,2,7.1,316,0,3,0,4
1992,5E2A,3,8,371,1,1,1,0
1992,5E2A,3,7,316,0,1,0,0
1992,5E2A,4,7,316,1,5,1,0
1992,5E2A,4,9,375,0,0,7,1
