YEAR,GAP,PLOT,SPEC,FIASP,HT1,HT2,HT3,HT4
1997,4G2C,4,7,316,1,0,0,0
1997,4G2C,4,1,129,2,0,0,0
1997,4G1B,1,1,129,2,2,1,0
1997,4G1B,1,7,316,0,2,0,0
1997,4G1B,1,5,833,0,1,1,0
1997,4G1B,2,7,316,1,1,0,0
1997,4G1B,2,1,129,2,0,0,0
1997,4G1B,3,9,375,0,0,2,0
1997,4G1B,3,5,833,0,0,1,0
1997,4G1B,3,7,316,0,0,3,0
1997,4G1B,3,1,129,10,2,3,0
1997,4G1B,4,7,316,0,0,4,0
1997,4G1B,4,1,129,0,0,0,1
1997,4G1B,4,5,833,0,1,0,0
1997,4G1B,4,10,379,0,0,1,1
1997,4I1B,1,1,129,5,0,0,0
1997,4I1B,2,1,129,1,0,0,0
1997,4I1B,2,5,833,1,0,0,0
1997,4I1B,3,4,261,1,0,1,0
1997,4I1B,3,7,316,2,0,0,0
1997,4I1B,3,1,129,36,0,0,0
1997,4I1B,4,7,316,1,0,0,0
1997,4I1B,4,1,129,10,0,0,0
1997,3J1A,2,6,802,0,2,0,0
1997,3J1A,2,7,316,0,3,4,0
1997,3J1A,2,2,097,0,0,1,0
1997,3J1A,2,1,129,1,0,1,0
1997,3J1A,2,5,833,0,1,0,0
1997,3J1A,3,1,129,0,0,2,0
1997,3J1A,4,7,316,0,0,1,0
1997,3J1A,4,1,129,12,2,0,0
1997,3J1A,4,6,802,1,0,0,0
1997,3J2C,1,5,833,0,0,1,0
1997,3J2C,1,7,316,1,1,0,0
1997,3J2C,1,1,129,45,0,0,0
1997,3J2C,2,25,585,0,0,0,1
1997,3J2C,2,1,129,4,0,2,0
1997,3J2C,2,7,316,0,0,2,3
1997,3J2C,3,7,316,0,2,0,0
1997,3J2C,3,25,585,0,1,0,0
1997,3J2C,3,1,129,12,0,0,0
1997,3J2C,4,3,012,0,0,3,0
