H36 3  25 0 3.0 1.1 1.3
H36 3  3 0 4.0 1.6
H36 3  1 0 2.0
H36 4  1 0 5.0
H36 4  7.1 0 22.0
H36 4  25 1 3.0 1.1 1.2
H36 4  25 3 1.0
H42 2  3 0 1.0 1.4 1.7
H55 1  25 0 4.0 1.2
H55 1  2 0 2.0
H55 1  25 2 1.0
H55 1  3 0 1.0
C31 1  7 0 1.2
C31 1  2 0 2.9
C31 1  3 0 3.0 1.2 1.5 1.6 1.9
C31 2  3 0 1.3
C31 2  7 0 1.7
C54 1  3 0 3.0 3.2 2.3
C54 1  4 0 1.3 2.4
C54 1  2 0 1.0
C54 6  8 0 1.5
C54 6  4 0 1.6
C54 6  25 0 4.0 1.2
C54 4  3 0 1.6
C54 4  2 0 1.4 1.5
C54 4  25 0 2.0 1.1 1.2 1.3 1.4
C54 4  1 0 1.0
C54 5  4 0 1.6
C54 5  3 0 3.0 1.5 1.8
C55 1  0 0 0
C55 2  8 0 1.8
C55 5  4 0 1.0
C55 5  5 0 1.1 1.2 1.8
C55 5  7 0 1.3
H24 6  8 2 2.0
H24 6  6 1 1.0
H24 6  7 1 1.2 1.4 1.6
H24 6  4 0 1.3
H24 6  3 0 1.0
H24 6  1 0 1.3
H24 6  1 1 1.2
H24 3  12 3 2.0
H24 3  1 0 5.0
H24 3  3 0 1.0 4.2
H24 2  6 2 1.0
H24 2  1 1 2.0 1.3
H24 2  5 1 1.0
H24 2  8 0 1.0
H24 2  1 0 3.0 1.2 1.4
H24 2  3 0 1.7
H23 1  1 0 2.0
H23 1  7 1 1.0 1.2 2.4
H23 1  8 2 2.0
H23 2  5 0 1.7
H23 2  5.1 3 3.0
H23 2  4 0 1.6
H23 2  12 2 1.0
H23 2  1 1 1.0
H23 4  5 3 2.0
H23 4  8 2 1.0 1.2
H23 4  1 0 1.0
H23 4  4 0 1.0 1.1 1.3 1.5 1.6
H23 4  12 0 1.1
H23 4  8 3 1.0
H23 4  7 1 1.0
H23 4  1 2 1.4
H23 7  8 0 1.2
H23 7  5 1 1.4
H23 7  8 3 1.0
H23 7  1 0 2.0
H23 7  4 0 1.0
H11 8  1 1 2.0 1.3 1.5
H11 8  1 0 7.0 2.2
H11 8  8 1 2.0
H11 8  3 0 1.4
H11 8  10 1 1.0
H11 8  7 0 1.0
H22 1  6 2 1.0
H22 1  7 0 3.2
H22 1  5 0 1.5
H22 1  3 0 1.3
H22 1  4 0 1.5
H22 1  1 0 9.0
H22 1  7.1 0 1.0
H22 3  6 2 2.0
H22 3  1 0 5.0
