YEAR,TRAN,PLOT,SPEC,FIASP,DAM,SZ0,SZ1,SZ2,SZ3,SZ4,SZ5,SZ6,SZ7,SZ8,SZ9
2002,L04,10,5,833,2,1,0,0,0,0,0,0,0,0,0
2002,L04,10,5,833,3,1,0,0,0,0,0,0,0,0,0
2002,L04,2,0,000,0,0,0,0,0,0,0,0,0,0,0
2002,L04,7,5,833,2,1,0,0,0,0,0,0,0,0,0
2002,L04,7,5,833,0,0,0,1,0,1,0,0,0,0,0
2002,L04,7,1,129,0,1,0,0,0,0,0,0,0,0,0
2002,L04,9,0,000,0,0,0,0,0,0,0,0,0,0,0
2002,L04,6,5,833,3,4,0,0,0,0,0,0,0,0,0
2002,H28,3,1,129,2,4,0,0,0,0,0,0,0,0,0
2002,H28,3,6,802,1,2,0,0,0,0,0,0,0,0,0
2002,H28,3,6,802,3,1,0,0,0,0,0,0,0,0,0
2002,H28,3,5,833,2,1,0,0,0,0,0,0,0,0,0
2002,H28,1,1,129,0,7,0,1,0,0,0,0,0,0,0
2002,H28,1,10,379,3,1,0,0,0,0,0,0,0,0,0
2002,H28,1,7,316,0,0,1,0,0,0,0,0,0,0,0
2002,H29,1,1,129,1,14,0,1,0,0,0,0,0,0,0
2002,H29,1,10,379,3,1,0,0,0,0,0,0,0,0,0
2002,H29,1,7,316,0,1,0,0,0,0,0,0,0,0,0
2002,H29,1,2,097,0,1,0,0,0,0,0,0,0,0,0
2002,H27,4,5,833,1,1,0,1,2,1,0,0,0,0,0
2002,H27,4,5,833,3,2,0,0,0,0,0,0,0,0,0
2002,H27,4,9,375,2,2,0,1,0,0,0,0,0,0,0
2002,H27,4,10,379,2,5,0,1,0,0,0,0,0,0,0
2002,H27,4,14,743,0,0,0,0,0,1,0,0,0,0,0
2002,H27,4,1,129,0,1,0,0,0,0,0,0,0,0,0
2002,H27,1,10,379,2,13,16,5,2,0,0,0,0,0,0
2002,H27,1,7,316,2,4,1,0,0,0,0,0,0,0,0
2002,H27,1,10,379,3,22,0,0,0,0,0,0,0,0,0
