YEAR,QUAD,SPEC,FIASP,COND,SZ2,SZ3,SZ4,SZ5,SZ6,SZ7,SZ8,SZ9
1992,3E1,15,746,0,5,3,1,0,0,0,0,0
1992,3E1,16,762,1,1,0,0,0,0,1,0,1
1992,3E1,12,541,0,1,0,0,0,0,0,0,0
1992,3E1,1,129,0,1,0,0,0,0,0,1,0
1992,3E1,7,316,0,2,0,0,0,0,0,0,0
1992,3E1,16,762,0,1,0,1,0,0,0,0,0
1992,3E4,7,316,0,4,0,0,1,1,0,0,0
1992,3E4,3,012,0,5,5,3,0,4,0,0,0
1992,3E4,12,541,1,0,0,0,2,1,0,0,0
1992,3E4,5,833,0,0,0,0,1,0,0,0,0
1992,3E4,12,541,0,0,0,0,1,1,2,1,0
1992,3E4,4,261,0,1,0,0,0,0,0,0,0
1992,3F1,12,541,0,1,0,0,0,0,0,0,0
1992,3F1,3,012,0,19,12,3,0,1,0,0,1
1992,3F1,7,316,1,1,0,0,0,0,0,0,0
1992,3F1,5,833,0,2,0,0,0,0,0,0,0
1992,3F1,8,371,1,0,0,1,0,0,0,0,0
1992,3F1,2,097,0,0,0,1,0,0,0,0,0
1992,3F2,3,012,0,3,8,10,5,6,5,2,0
1992,3F2,12,541,0,2,1,3,1,1,0,0,0
1992,3F2,12,541,1,1,3,0,1,0,0,0,0
1992,3F2,7,316,0,0,1,3,1,0,0,1,0
1992,3F2,7,316,1,1,0,1,0,0,0,0,0
1992,3F2,10,379,0,0,0,1,0,0,0,0,0
1992,3F4,5,833,0,0,0,0,1,2,0,2,0
1992,3F4,3,012,0,1,2,0,1,0,0,0,0
1992,3F4,7,316,0,0,1,0,1,0,0,0,0
1992,3F4,12,541,0,0,0,1,2,0,1,0,0
1992,3G2,7,316,1,2,0,0,0,0,0,0,0
1992,3G2,7,316,0,4,0,0,0,0,0,0,0
1992,3G2,8,371,0,0,0,0,1,0,1,0,0
1992,3G2,2,097,0,0,0,1,0,0,0,0,0
1992,3G2,6,802,1,0,0,0,0,0,0,0,1
1992,3H1,5,833,0,2,1,0,0,0,0,0,0
1992,3H1,5,833,1,2,0,0,0,0,0,0,0
1992,3H1,4,261,0,0,1,0,0,0,0,0,0
1992,3H1,8,371,0,1,2,0,0,0,0,0,0
1992,3H1,1,129,0,2,0,0,2,2,2,0,1
1992,3H1,1,129,1,7,2,0,1,1,0,0,0
1992,3H1,2,097,0,2,1,0,0,0,0,0,0
1992,3H1,2,097,1,0,0,0,1,0,0,0,0
1992,3H1,9,375,1,0,0,1,0,0,0,0,0
1992,3H1,7,316,0,1,0,0,1,0,1,0,0
1992,3H1,7,316,1,0,0,1,0,0,0,0,0
1992,3H1,3,012,0,2,0,1,0,0,0,0,0
1992,3H1,10,379,0,0,0,0,0,1,0,0,0
1992,3H2,7,316,0,3,0,2,0,0,1,0,0
1992,3H2,7,316,1,2,4,0,0,2,0,0,0
1992,3H2,5,833,0,0,0,0,0,0,2,1,0
1992,3H2,5,833,1,0,0,1,1,0,0,0,0
