YEAR,QUAD,SPEC,FIASP,COND,SZ2,SZ3,SZ4,SZ5,SZ6,SZ7,SZ8,SZ9
2004,3E1,10.1,379,1,1,2,0,0,0,0,0,0
2004,3E1,10.1,379,0,0,0,1,0,0,0,0,0
2004,3E1,10,379,1,0,0,0,0,0,0,0,1
2004,3E1,12,541,0,4,1,0,0,1,1,0,0
2004,3E1,3,012,0,5,0,1,0,0,0,0,0
2004,3E1,5,833,0,0,1,0,0,1,0,0,0
2004,3E1,7,316,0,1,3,1,2,0,0,0,0
2004,3E1,15,746,0,0,0,0,0,0,1,0,0
2004,3E4,3,012,0,3,4,4,3,4,1,1,0
2004,3E4,3,012,1,0,0,1,0,0,0,0,0
2004,3E4,5,833,0,0,1,0,0,1,0,0,0
2004,3E4,7,316,0,1,1,1,1,0,0,0,0
2004,3E4,12,541,1,0,0,0,0,0,2,1,0
2004,3E4,12,541,0,0,0,0,0,1,0,0,0
2004,3E4,7.1,316,0,1,0,0,0,0,0,0,0
2004,3E4,4,261,0,0,0,0,0,0,0,1,0
2004,3F1,3,012,0,5,9,13,8,4,0,0,0
2004,3F1,3,012,1,0,2,0,0,2,0,0,0
2004,3F1,12,541,0,1,0,0,0,0,0,0,0
2004,3F1,2,097,0,1,0,1,0,0,0,0,0
2004,3F2,3,012,0,0,1,4,4,3,1,5,5
2004,3F2,12,541,0,0,0,2,1,0,0,0,0
2004,3F2,12,541,1,2,1,1,0,1,0,0,0
2004,3F2,3,012,1,1,0,1,1,1,0,0,1
2004,3F2,7,316,0,0,0,1,0,0,0,0,0
2004,3F4,5,833,0,0,0,0,1,1,2,1,0
2004,3F4,5,833,1,0,1,0,0,0,0,0,0
2004,3F4,12,541,0,0,0,0,1,0,0,1,0
2004,3F4,3,012,0,4,2,1,0,2,0,0,0
2004,3F4,3,012,1,0,1,0,0,0,0,0,0
2004,3F4,7,316,0,0,1,0,0,1,0,0,0
2004,3G2,26,350,0,8,8,1,0,0,0,2,0
2004,3G2,8,371,0,0,0,0,0,2,0,1,0
2004,3G2,1,129,0,14,7,2,1,1,0,0,0
2004,3G2,7,316,0,0,0,2,0,0,0,0,0
2004,3G2,3,012,0,1,1,1,0,1,0,0,0
2004,3H1,1,129,1,1,1,0,2,2,2,0,2
2004,3H1,2,097,0,2,2,0,0,0,1,1,0
2004,3H1,3,012,0,1,0,0,1,0,0,0,0
2004,3H1,8,371,0,0,2,0,0,0,0,0,0
2004,3H1,4,261,0,2,0,0,0,0,0,0,0
2004,3H1,5,833,0,0,1,0,0,0,0,0,0
2004,3H1,1,129,0,0,0,0,0,0,2,0,0
2004,3H1,2,097,1,0,1,0,0,0,0,0,0
2004,3H2,1,129,0,0,0,1,0,0,1,0,0
2004,3H2,4,261,0,1,0,0,1,0,0,0,0
2004,3H2,7,316,0,3,1,1,0,1,0,1,0
2004,3H2,5,833,0,0,0,0,0,0,1,1,0
2004,3H2,6,802,1,0,0,0,0,0,0,1,0
2004,3H3,3,012,0,1,0,0,0,0,0,0,0
2004,3H3,7,316,1,0,1,0,1,0,0,0,0
2004,3H3,25,585,0,3,0,1,1,0,0,0,0
2004,3H3,25,585,1,1,0,0,0,0,0,0,0
2004,3H3,4,261,0,1,0,0,1,0,0,0,0
2004,3H3,2,097,0,0,0,2,0,0,1,0,0
2004,3H3,7,316,0,2,1,1,1,0,1,1,1
2004,3H3,5,833,0,0,0,0,1,0,0,0,0
2004,3H3,8,371,0,0,1,0,0,0,0,0,0
2004,3I4,1,129,0,1,5,2,0,1,1,1,0
2004,3I4,3,012,0,3,0,0,0,0,0,0,0
2004,3I4,25,585,0,2,0,4,0,0,0,0,0
2004,3I4,7,316,1,0,0,0,0,0,1,0,0
2004,3I4,2,097,1,0,0,0,0,1,0,0,0
2004,3I4,5,833,0,0,0,0,0,0,0,1,0
2004,3J2,3,012,0,1,1,4,1,1,0,0,1
2004,3J2,1,129,1,0,0,0,1,0,0,0,0
2004,3J2,3,012,1,0,0,0,1,0,0,0,0
2004,3J2,7,316,0,1,0,0,0,1,0,0,0
2004,3J2,2,097,0,0,0,1,1,2,2,0,0
2004,3J2,25,585,0,4,3,5,1,0,0,0,0
2004,3J2,2,097,1,0,0,0,1,0,0,0,0
2004,3J3,5,833,0,1,0,0,1,1,0,0,0
2004,3J3,7,316,0,0,1,0,0,0,0,0,0
2004,3J3,25,585,0,10,3,2,1,0,0,1,0
2004,3J3,3,012,0,5,2,0,0,0,2,1,1
2004,3J3,2,097,0,1,0,3,0,0,0,0,1
2004,3J3,25,585,1,0,0,1,0,0,0,0,0
2004,4E1,3,012,0,4,5,2,2,2,0,0,0
2004,4E1,2,097,0,0,1,0,2,0,0,0,2
2004,4E1,7,316,0,0,0,1,0,0,0,2,2
2004,4E1,8,371,0,0,0,0,1,1,1,0,0
2004,4E1,3,012,1,0,0,1,0,0,0,0,0
2004,4E2,8,371,0,0,0,1,1,1,0,0,0
2004,4E2,5,833,0,0,2,0,0,0,0,0,1
2004,4E2,7,316,0,0,0,0,0,2,0,0,0
2004,4E2,3,012,0,0,1,1,0,0,0,0,0
2004,4E2,6,802,1,0,0,0,0,1,0,0,0
2004,4E2,3,012,1,0,0,1,1,0,0,0,0
2004,4E3,7,316,0,1,1,3,2,0,2,2,1
2004,4E3,7,316,1,0,1,0,0,0,0,0,0
2004,4E3,1,129,1,0,0,1,2,0,0,0,0
2004,4E3,3,012,1,0,1,0,0,0,1,0,0
2004,4E3,12,541,0,1,0,0,0,0,0,0,0
2004,4E3,5,833,0,0,0,0,0,1,0,0,0
2004,4E4,1,129,1,1,2,0,0,1,0,0,0
2004,4E4,1,129,0,1,0,3,1,1,0,0,3
2004,4E4,5,833,0,0,0,0,0,1,0,0,0
2004,4F1,5,833,0,1,2,0,1,0,0,0,0
2004,4F1,1,129,0,0,1,0,0,0,0,0,1
2004,4F1,7,316,0,0,1,0,0,0,0,0,0
2004,4F1,10,379,0,5,1,2,1,0,0,0,0
2004,4F2,1,129,0,0,1,1,0,0,0,0,0
2004,4F2,16,762,0,0,0,0,0,0,0,1,0
2004,4F2,5,833,0,0,0,0,0,0,0,1,0
2004,4F3,1,129,0,6,2,1,0,0,0,0,0
2004,4F3,5,833,0,1,1,2,2,0,0,0,0
2004,4F3,7,316,0,1,0,0,0,0,0,0,0
2004,4F4,1,129,0,4,3,3,0,0,0,0,0
2004,4F4,10,379,0,0,2,1,0,0,1,0,0
