YEAR,QUAD,SPEC,FIASP,COND,SZ2,SZ3,SZ4,SZ5,SZ6,SZ7,SZ8,SZ9
2009,3E1,1,129,0,1,0,0,0,0,0,0,0
2009,3E1,5,833,0,1,2,0,0,0,0,0,0
2009,3E1,7,316,0,0,1,2,2,0,1,0,1
2009,3E1,12,541,0,2,2,1,1,0,0,0,2
2009,3E1,3,012,0,8,2,1,0,0,1,0,0
2009,3E1,1,129,0,0,1,0,0,0,0,0,0
2009,3E1,16,762,1,0,0,0,0,0,0,0,1
2009,3E1,16,762,0,0,1,0,0,0,0,0,0
2009,3E1,6,802,0,1,0,0,0,0,0,0,0
2009,3E1,7.1,316,0,0,0,1,1,0,0,0,0
2009,3E1,10.1,379,1,0,0,1,0,0,0,0,0
2009,3E4,3,012,0,1,5,2,2,5,2,1,1
2009,3E4,7,316,0,3,0,0,2,0,0,0,0
2009,3E4,4,261,0,1,0,0,0,0,0,0,1
2009,3E4,12,541,1,0,0,0,0,1,1,1,0
2009,3E4,12,541,0,1,0,0,0,0,0,0,0
2009,3E4,3,012,1,2,1,0,1,0,1,0,0
2009,3E4,5,833,0,0,1,0,0,1,0,0,0
2009,3F1,3,012,1,1,0,0,0,0,0,0,0
2009,3F1,8,371,0,0,1,0,0,0,0,0,0
2009,3F1,2,097,0,1,0,1,0,0,0,0,0
2009,3F1,3,012,0,10,12,11,12,5,1,0,0
2009,3F2,12,541,0,0,0,2,1,0,0,0,0
2009,3F2,3,012,0,0,0,4,5,3,4,7,3
2009,3F2,3,012,1,1,0,1,0,0,0,0,0
2009,3F2,7,316,0,0,0,1,0,0,1,0,0
2009,3F2,5,833,0,1,0,0,0,0,0,0,0
2009,3F4,12,541,0,0,0,1,0,0,0,1,0
2009,3F4,5,833,0,0,0,0,0,1,3,0,1
2009,3F4,3,012,0,4,2,0,1,0,2,0,0
2009,3F4,3,012,1,0,1,0,0,0,0,0,0
2009,3F4,7,316,0,0,1,0,0,1,0,0,0
2009,3G2,1,129,0,8,5,6,5,0,1,1,0
2009,3G2,3,012,0,2,0,2,0,2,0,1,0
2009,3G2,8,371,0,0,0,0,0,0,1,1,1
2009,3G2,7.1,316,0,3,0,0,0,0,0,0,0
2009,3G2,26,350,0,4,2,1,1,0,0,0,0
2009,3G2,26,350,1,1,0,0,0,0,0,0,0
2009,3H1,2,097,1,0,2,0,0,1,1,0,1
2009,3H1,4,261,1,0,0,0,1,0,0,0,0
2009,3H1,1,129,0,0,1,0,0,0,1,2,0
2009,3H1,2,097,0,2,2,0,0,0,0,0,1
2009,3H1,7,316,1,0,0,1,0,0,0,0,0
2009,3H1,4,261,0,1,2,1,0,1,0,1,0
2009,3H1,8,371,0,0,1,0,0,0,0,0,0
2009,3H1,3,012,0,1,0,0,1,0,0,0,0
2009,3H1,1,129,1,0,0,0,1,1,1,0,0
2009,3H1,7,316,0,0,0,0,0,1,0,0,0
2009,3H1,8,371,1,0,1,0,0,0,0,0,0
2009,3H2,1,129,0,0,0,1,0,0,0,0,0
2009,3H2,1,129,1,0,0,0,0,0,1,0,0
2009,3H2,7,316,0,1,0,0,0,0,1,1,1
2009,3H2,5,833,0,0,0,0,0,0,1,1,0
2009,3H2,5,833,1,0,0,0,0,0,1,0,0
2009,3H2,4,261,1,0,2,0,0,1,0,0,0
2009,3H2,7,316,1,0,0,1,0,0,0,0,0
2009,3H2,7.1,316,0,0,1,0,0,0,0,0,0
2009,3H3,7,316,1,0,0,1,1,0,0,3,0
2009,3H3,7.1,316,0,1,1,1,0,0,0,0,0
2009,3H3,7,316,1,0,0,0,1,0,0,0,0
2009,3H3,2,097,0,0,0,1,0,0,0,1,0
2009,3H3,4,261,0,2,1,0,0,1,0,0,0
2009,3H3,25,585,0,1,1,1,0,0,0,0,0
2009,3H3,25,585,1,0,1,0,1,0,0,0,0
2009,3H3,3,012,1,0,1,0,0,0,0,0,0
2009,3H3,3,012,0,1,1,0,0,0,0,0,0
2009,3H3,1,129,1,0,0,0,0,0,0,0,0
2009,3H3,16,762,0,0,1,0,0,0,0,0,0
2009,3I4,1,129,9,4,3,0,0,0,0,0,0
2009,3I4,25,585,5,0,4,0,0,0,0,0,0
2009,3I4,5,833,8,0,0,0,0,0,0,0,0
2009,3I4,3,012,3,2,0,0,0,0,0,0,0
2009,3I4,5.1,833,8,0,0,0,0,0,0,0,0
2009,3I4,3,012,4,0,0,0,0,0,0,0,0
2009,3J2,3,012,9,6,0,0,0,0,0,0,0
2009,3J2,2,097,8,0,0,0,0,0,0,0,0
2009,3J2,25,585,5,3,0,4,0,0,0,0,0
2009,3J2,3,012,4,0,0,0,0,0,0,0,0
2009,3J2,25,585,4,0,0,0,0,0,0,0,0
2009,3J2,7,316,7,0,0,0,0,0,0,0,0
2009,3J2,2,097,6,0,0,0,0,0,0,0,0
2009,3J3,5,833,7,0,0,0,0,0,0,0,0
2009,3J3,7.1,316,0,0,1,0,0,0,0,0,0
2009,3J3,3,012,0,3,3,0,3,0,1,0,3
2009,3J3,2,097,0,1,2,1,1,0,0,0,0
2009,3J3,1,129,0,1,0,1,0,0,0,0,0
2009,3J3,3,012,1,1,0,1,0,0,0,0,0
2009,3J3,25,585,0,5,8,5,1,0,0,1,0
2009,4E1,7,316,0,0,1,0,0,0,0,0,0
2009,4E1,7,316,1,0,0,0,0,0,1,0,1
2009,4E1,3,012,0,3,5,2,1,2,0,0,0
2009,4E1,2,097,0,0,0,1,1,0,0,0,1
2009,4E1,2,097,1,1,0,0,0,0,0,0,0
2009,4E1,8,371,0,0,0,0,1,1,0,0,0
2009,4E2,5,833,0,0,1,1,0,0,0,0,0
2009,4E2,7,316,0,0,0,0,0,2,0,0,0
2009,4E2,8,371,0,0,0,0,1,2,1,0,0
2009,4E2,3,012,0,0,1,0,1,0,0,0,0
2009,4E2,2,097,0,3,1,0,0,0,0,0,0
2009,4E2,1,129,1,0,0,0,0,0,0,0,1
2009,4E2,1.1,129,1,0,0,0,0,0,0,0,1
2009,4E3,7,316,0,1,2,2,1,0,1,2,1
2009,4E3,1,129,1,0,1,1,0,0,1,0,0
2009,4E3,5,833,0,0,0,0,0,1,0,0,0
2009,4E3,8.1,371,0,0,0,0,0,0,0,0,1
2009,4E4,1,129,0,0,1,0,0,1,0,0,2
2009,4E4,1.1,129,1,1,0,0,0,0,0,0,0
2009,4E4,5,833,0,0,0,1,0,1,0,0,0
2009,4E4,1,129,1,0,0,2,0,0,0,0,0
2009,4F1,5,833,0,1,0,2,0,1,0,0,0
2009,4F1,1,129,0,0,0,2,0,0,0,0,1
2009,4F1,10,379,0,1,0,0,0,1,0,0,0
2009,4F1,10.1,379,0,1,0,0,0,2,0,0,0
2009,4F1,7,316,0,0,2,0,0,0,0,0,0
2009,4F2,16,762,0,0,0,0,0,0,0,1,0
2009,4F2,1,129,0,0,1,0,0,1,0,0,0
2009,4F3,1,129,0,6,11,4,2,1,0,0,0
2009,4F3,5,833,1,0,0,0,1,0,0,0,0
2009,4F3,7,316,0,1,1,0,0,0,0,0,0
2009,4F3,5,833,0,0,0,2,0,0,0,0,0
2009,4F4,1,129,0,5,3,5,0,1,0,0,0
2009,4F4,5,833,0,0,0,0,4,0,0,1,0
2009,4F4,9,375,0,0,0,2,0,0,1,0,0
2009,4F4,2,097,0,1,0,0,0,0,0,0,0
2009,4F4,5.1,833,0,0,0,0,0,0,1,0,0
2009,4G1,1,129,0,3,4,5,3,1,0,1,0
2009,4G1,8,371,0,0,0,0,0,0,0,0,2
2009,4G1,3,012,0,1,1,1,0,2,2,0,1
2009,4G1,6,802,0,0,0,0,0,1,0,0,0
2009,4G1,7,316,0,0,1,0,0,0,0,0,1
2009,4G1,1,129,1,1,0,0,0,1,0,0,0
2009,4G1,3,012,1,2,0,1,0,0,0,0,1
2009,4G1,5.1,833,1,0,2,0,0,0,0,0,0
2009,4G1,5,833,0,0,0,2,0,0,0,0,0
2009,4G1,4,261,0,0,0,0,0,0,2,0,0
2009,4G1,2,097,0,0,0,0,0,1,0,0,0
2009,4G1,7.1,316,1,0,0,1,0,0,0,0,0
2009,4G2,8,371,0,0,0,0,0,0,0,1,0
2009,4G2,1,129,0,10,14,18,8,3,4,1,1
2009,4G2,2,097,0,0,1,0,0,0,0,0,0
2009,4G2,7,316,0,0,2,0,0,0,0,0,0
2009,4G2,5,833,0,0,1,0,1,0,0,0,0
2009,4G2,5.1,833,1,1,0,0,0,0,0,0,0
2009,4G2,1,129,1,0,1,0,0,0,0,0,0
2009,4G2,5,833,1,0,0,0,0,0,0,1,0
2009,4H1,2,097,0,1,5,0,1,0,0,0,0
2009,4H1,1,129,0,1,3,1,0,0,0,0,0
2009,4H1,4,261,0,2,1,0,0,0,0,1,1
2009,4H1,4,261,1,0,2,0,0,0,0,0,0
2009,4H2,2,097,0,0,2,0,0,0,0,0,0
2009,4H2,4,261,0,1,0,1,0,0,0,0,1
2009,4H2,1,129,0,4,1,1,1,0,0,0,0
2009,4H2,3,012,1,1,0,0,0,0,0,0,0
2009,4H3,2,097,0,0,1,0,0,0,0,0,0
2009,4H3,4,261,0,2,0,0,0,0,0,1,0
2009,4H3,7,316,0,0,0,0,1,1,0,1,0
2009,4H3,5,833,0,0,0,0,0,0,0,1,1
2009,4H3,7,316,1,1,0,0,0,0,0,0,0
2009,4H3,7.1,316,0,1,0,0,0,0,0,0,0
2009,4I1,3,012,0,1,3,0,0,1,0,0,1
2009,4I1,7,316,0,1,0,0,1,0,0,0,0
2009,4I1,25,585,1,2,0,0,0,0,0,0,0
2009,4I1,25,585,0,1,5,0,0,0,0,0,0
2009,4I1,2,097,0,1,1,0,0,0,0,0,0
2009,4I1,1,129,0,1,0,0,0,0,0,0,0
2009,4I2,3,012,0,0,1,0,1,1,2,0,0
2009,4I2,4,261,0,0,0,1,0,0,2,2,2
2009,4I2,7,316,0,0,0,2,0,0,0,0,0
2009,4I2,7.1,316,1,1,0,0,0,0,0,0,0
2009,4I2,1,129,1,1,0,0,1,0,0,0,0
2009,4I2,1,129,0,1,1,3,0,1,0,0,0
2009,4I2,7,316,1,0,0,0,0,1,0,0,0
2009,4I2,2,097,0,0,1,0,0,0,0,0,0
2009,4I2,3,012,1,0,0,0,1,0,0,0,0
2009,4I3,4,261,0,4,9,2,0,1,0,0,0
2009,4I3,4.1,261,0,1,0,0,0,0,0,0,0
2009,4I3,1,129,0,0,0,0,1,0,0,0,0
2009,4I3,3,012,0,2,1,1,1,1,0,1,1
2009,4I3,3,012,1,0,1,0,2,0,0,0,0
2009,4I3,5,833,0,0,0,1,0,0,0,0,0
2009,4I3,2,097,0,0,0,0,0,0,1,0,2
2009,4I4,25,585,0,11,12,4,2,0,0,0,0
2009,4I4,5,833,0,0,0,0,0,0,0,0,1
2009,4I4,2,097,0,0,0,0,0,0,0,1,0
2009,4I4,1,129,0,0,2,2,0,0,0,0,0
2009,4I4,4,261,0,0,0,0,0,0,1,1,0
2009,4I4,4.1,261,0,0,1,0,0,0,0,0,0
2009,4I4,7,316,0,1,1,0,0,0,0,0,0
2009,4I4,25,585,1,2,0,0,1,0,0,0,0
2009,4J1,3,012,0,2,2,3,0,1,1,2,0
2009,4J1,7,316,0,1,0,1,0,0,0,1,0
2009,4J1,5,833,0,0,0,1,0,0,0,0,0
2009,4J1,5.1,833,1,0,0,0,0,0,0,1,0
2009,4J1,4,261,0,0,0,0,0,1,0,0,0
2009,4J1,4.1,261,0,0,0,0,1,0,0,0,0
2009,4J2,1,129,1,2,0,0,0,0,0,0,0
2009,4J2,1,129,0,0,0,0,0,1,0,0,1
2009,4J2,2,097,0,0,0,0,1,0,0,0,0
2009,4J2,5,833,0,0,0,0,0,0,0,1,0
2009,4J2,7,316,0,0,0,0,0,1,0,0,0
2009,4J2,5,833,1,1,0,0,0,0,0,0,0
2009,4J3,3,012,0,2,4,2,2,1,1,1,0
2009,4J3,2,097,0,0,2,0,1,0,0,0,0
2009,4J3,4,261,0,0,0,1,0,0,1,0,0
2009,4J3,7,316,0,0,0,0,1,0,0,0,0
2009,5D2,12,541,0,0,0,1,0,0,0,0,0
2009,5D2,6,802,0,0,1,0,0,0,0,0,0
2009,5D2,3,012,0,2,1,1,0,0,0,0,1
2009,5D2,1,129,0,1,2,0,0,0,1,0,0
2009,5D2,5,833,0,3,0,1,0,0,0,0,0
2009,5D2,7,316,0,0,1,0,0,0,0,1,1
2009,5D2,2,097,0,0,0,0,1,0,0,0,0
2009,5D2,3,012,1,0,1,0,0,0,0,0,0
2009,5D4,1,129,0,3,3,1,0,0,0,0,0
2009,5D4,3,012,0,1,0,0,1,0,0,0,0
2009,5D4,8,371,0,2,0,1,0,0,0,0,0
2009,5D4,5,833,0,2,2,0,0,0,0,0,0
2009,5D4,4,261,0,0,0,0,0,1,0,0,0
2009,5D4,7,316,1,0,0,0,1,0,0,0,0
2009,5E1,7,316,0,0,0,0,1,1,0,1,0
2009,5E3,1,129,0,3,1,0,1,0,0,0,0
2009,5E3,3,012,0,1,2,0,0,0,1,0,0
2009,5E3,5.1,833,1,0,0,0,0,0,0,0,1
2009,5E3,3,012,1,0,1,0,0,0,0,0,0
2009,5E3,7,316,1,0,0,1,1,0,0,0,1
2009,5E3,8.1,371,0,0,0,0,0,0,1,1,0
2009,5E3,7,316,0,0,0,0,0,0,0,0,1
2009,5E3,2,097,0,0,1,0,0,0,0,0,0
2009,5F1,3,012,0,1,3,3,5,3,0,6,1
2009,5F1,3,012,1,1,1,0,0,0,0,0,0
2009,5F1,5,833,0,2,2,2,0,0,0,0,0
2009,5F1,7,316,1,1,0,0,0,0,0,0,0
2009,5F3,5,833,0,0,0,0,1,1,0,1,0
2009,5F3,5.1,833,1,0,0,0,0,1,0,0,0
2009,5F3,3,012,0,0,1,0,0,0,2,1,2
2009,5F3,2,097,0,0,0,0,1,0,0,0,0
2009,5F3,7,316,1,1,0,0,0,0,0,0,0
2009,5F3,4,261,0,0,0,0,0,0,0,0,1
2009,5F3,7,316,0,1,2,0,1,0,0,0,0
2009,5F4,3,012,0,6,3,3,8,5,2,0,0
2009,5F4,3,012,1,0,0,1,0,1,0,0,0
2009,5F4,5,833,0,0,0,0,1,0,0,0,0
2009,5F4,7,316,0,0,0,0,1,0,1,0,0
2009,5H3,1,129,0,0,0,1,0,0,0,0,0
2009,5H3,7,316,0,0,3,0,1,0,0,0,0
2009,5H3,7.1,316,0,1,1,0,1,0,0,1,0
2009,5H3,7,316,1,0,0,0,0,0,1,0,0
2009,5H3,2,097,0,1,1,0,0,0,0,0,0
2009,5H3,8,371,0,1,1,0,1,0,0,0,0
2009,5H3,1,129,1,0,0,0,2,1,0,0,0
2009,5H3,1,129,0,1,1,0,1,0,0,0,0
2009,5H3,5,833,0,1,0,0,0,0,0,0,0
2009,5H3,4,261,0,0,1,0,0,0,0,0,0
2009,5H3,1,129,0,2,1,1,0,0,0,0,0
2009,5H3,4,261,0,1,0,0,0,0,0,0,0
2009,5H3,3,012,0,1,0,0,0,0,0,0,0
2009,5I1,3,012,1,0,0,0,1,0,1,0,0
2009,5I1,4,261,0,0,1,1,1,1,0,0,0
2009,5I1,8,371,0,0,1,3,1,0,0,0,0
2009,5I1,2,097,0,0,0,0,2,0,0,0,0
2009,5I1,5,833,0,1,0,0,0,0,0,0,0
2009,5I1,3,012,0,2,0,0,0,0,0,0,0
2009,5I1,7,316,0,0,0,0,0,0,0,0,1
2009,5I1,7.1,316,1,0,0,0,1,0,0,0,0
2009,5I1,7,316,1,0,0,0,0,1,0,0,0
2009,5I1,7.1,316,0,1,0,0,0,0,0,0,0
2009,5I4,5,833,1,0,0,0,0,0,0,0,1
2009,5I4,4,261,4,0,1,3,3,1,1,0,1
2009,5I4,25,585,5,0,4,3,4,0,0,0,0
2009,5I4,25,585,2,0,2,1,1,0,0,0,0
2009,5I4,9,375,1,0,0,0,0,0,0,1,0
2009,5I4,7.1,316,1,0,0,0,0,0,0,0,1
2009,5J1,1,129,0,4,7,0,3,0,0,0,0
2009,5J1,2,097,0,2,0,0,0,0,0,0,0
2009,5J1,25,585,0,5,12,6,0,0,0,0,0
2009,5J1,3,012,0,2,2,0,1,0,0,0,0
2009,5J1,6,802,0,1,0,0,0,0,0,0,0
2009,5J1,4,261,0,0,0,1,0,0,0,0,0
2009,5J1,25,585,1,0,0,1,0,0,0,0,0
2009,5J1,9,375,0,0,0,0,0,0,0,1,0
2009,5J2,1,129,0,6,4,2,0,0,0,0,1
2009,5J2,5,833,0,0,1,1,1,0,0,0,1
2009,5J4,7,316,0,1,4,0,1,0,0,0,0
2009,5J4,1,129,0,0,0,0,0,1,0,0,0
2009,5J4,5,833,1,0,0,0,0,1,0,0,1
2009,5J4,5,833,0,2,0,0,0,0,1,1,0
2009,5J4,4,261,1,0,0,0,0,0,0,1,0
2009,5J4,1.1,129,1,0,0,1,0,0,0,0,0
2009,6D2,5,833,0,0,1,0,0,0,0,1,0
2009,6D2,3,012,0,1,0,0,0,0,0,0,0
2009,6D2,7,316,1,1,0,0,0,0,0,0,0
2009,6D2,7,316,0,3,1,0,2,0,0,0,0
2009,6D2,1,129,0,1,0,0,0,0,0,0,0
2009,6D3,8.1,371,1,0,0,0,0,1,0,0,0
2009,6D3,8.1,371,0,0,1,0,0,0,0,1,0
2009,6D3,7,316,0,0,0,0,0,1,0,0,1
2009,6D3,5,833,0,0,0,0,0,0,0,0,1
2009,6D4,7.1,316,1,0,0,1,0,1,0,0,0
2009,6D4,7,316,0,1,0,0,1,1,4,0,0
2009,6D4,6,802,0,0,0,1,0,0,0,0,0
2009,6D4,8,371,0,0,0,0,0,0,0,1,0
2009,6D4,7,316,1,0,0,0,0,1,0,0,0
2009,6D4,5.1,833,0,0,0,1,0,0,0,0,0
2009,6E1,8.1,371,0,0,0,1,0,0,0,0,0
2009,6E1,8,371,0,0,0,0,0,1,0,0,1
2009,6E1,7,316,0,0,2,0,0,0,0,0,0
2009,6E1,7.1,316,1,1,0,0,0,0,0,0,0
2009,6E1,25,585,0,2,3,1,0,1,0,0,0
2009,6E1,25,585,1,0,1,0,0,0,0,0,0
2009,6E1,2,097,0,0,1,0,0,0,0,0,0
2009,6E1,5,833,0,1,0,0,0,0,0,0,0
2009,6E1,1,129,0,0,0,1,0,0,0,0,0
2009,6E3,5,833,0,0,0,3,4,1,0,0,0
2009,6E3,5,833,1,0,1,0,0,0,0,0,0
2009,6E3,1,129,1,0,0,0,0,0,0,0,1
2009,6E3,5.1,833,1,0,0,0,1,0,0,0,0
2009,6E4,5,833,0,0,0,3,2,0,2,2,0
2009,6E4,7,316,0,1,0,0,1,0,0,0,1
2009,6E4,7.1,316,0,0,1,1,0,0,0,0,0
2009,6E4,2,097,0,0,0,0,0,0,1,0,0
2009,6E4,1,129,1,1,0,0,0,0,0,0,0
2009,6F1,7,316,0,0,1,0,0,0,0,0,1
2009,6F1,5,833,0,1,0,0,0,0,1,0,0
2009,6F2,5,833,0,0,0,0,1,1,0,0,0
2009,6F2,7,316,1,0,0,1,0,0,0,0,0
2009,6F2,7,316,0,0,1,0,0,0,0,0,0
2009,6F2,2,097,1,0,0,0,0,0,0,1,0
2009,6F2,5,833,0,0,0,1,0,0,1,0,0
2009,6F2,8,371,0,0,0,0,0,0,1,0,0
2009,6F2,8.1,371,0,0,0,0,1,0,0,0,0
2009,6F2,2,097,0,0,0,1,0,0,1,0,0
2009,6F3,5,833,1,0,0,0,0,0,0,1,0
2009,6F3,7,316,1,0,0,0,1,0,0,0,0
2009,6F3,2,097,0,0,0,0,0,0,1,0,0
2009,6F3,5,833,0,0,0,0,1,0,0,0,0
2009,6F3,25,585,0,1,1,7,3,5,1,0,0
2009,6F4,3,012,0,0,0,0,0,0,0,0,1
2009,6F4,5,833,0,0,2,0,0,0,0,0,1
2009,6F4,7,316,0,0,0,1,1,0,2,0,1
2009,6F4,4,261,0,0,0,0,1,0,0,0,0
2009,6F4,7,316,1,0,0,0,0,0,1,0,0
2009,6F4,7.1,316,0,1,1,0,0,0,0,0,0
2009,6F4,2,097,0,1,0,0,0,0,0,0,0
2009,6G1,1,129,0,0,0,0,2,0,0,0,1
2009,6G1,2,097,1,0,1,0,0,0,0,0,0
2009,6G1,6,802,1,0,0,0,0,0,0,1,0
2009,6G1,7,316,0,1,0,0,0,0,0,1,1
2009,6G1,5,833,1,0,0,1,0,0,1,0,0
2009,6G1,5.1,833,1,1,1,0,0,0,0,0,0
2009,6G1,7,316,1,0,1,0,0,0,0,0,0
2009,6G1,7.1,316,1,0,0,1,0,0,0,0,0
2009,6G1,3,012,0,0,0,0,0,1,0,0,0
2009,6G2,7,316,0,3,5,1,1,0,1,1,1
2009,6G2,2,097,0,0,0,0,2,0,0,0,0
2009,6G2,3,012,1,0,0,1,0,0,0,0,0
2009,6G2,1,129,0,9,6,5,3,2,0,0,1
2009,6G2,1.1,129,1,1,0,0,0,0,0,0,0
2009,6G2,1,129,1,0,1,0,0,2,0,0,0
2009,6G2,7.1,316,0,1,0,0,0,0,0,0,0
2009,6G2,7.1,316,1,2,0,0,0,0,0,0,1
2009,6G2,7,316,1,0,0,0,1,0,0,1,0
2009,6G2,3,012,0,0,0,0,1,0,0,0,0
2009,6G2,25,585,0,0,1,0,0,0,0,0,0
2009,6G3,3,012,0,1,2,1,2,1,1,0,0
2009,6G3,1,129,0,5,3,1,0,0,1,0,0
