YEAR,QUAD,SPEC,FIASP,COND,SZ2,SZ3,SZ4,SZ5,SZ6,SZ7,SZ8,SZ9
1997,4E3,5,833,0,0,0,0,1,0,0,0,0
1997,4E4,1,129,0,0,1,1,1,0,1,0,0
1997,4E4,5,833,0,0,2,0,0,0,0,0,0
1997,4F1,1,129,0,0,0,0,0,0,0,0,1
1997,4F1,5,833,0,1,1,0,0,0,0,0,0
1997,4F1,10,379,0,4,3,0,0,0,0,0,0
1997,4F1,7,316,0,1,0,0,0,0,0,0,0
1997,4F1,7,316,0,1,0,0,0,0,0,0,0
1997,4F2,1,129,0,0,1,0,0,0,0,0,0
1997,4F2,16,762,0,0,0,0,0,0,1,0,0
1997,4F2,5,833,0,0,0,0,0,1,0,0,0
1997,4F3,5,833,0,2,1,1,1,0,0,0,0
1997,4F3,1,129,0,1,1,0,0,0,0,0,0
1997,4F3,7,316,0,6,3,3,1,0,1,1,0
1997,4F4,5,833,0,4,0,2,0,0,1,0,0
1997,4F4,10,379,0,2,1,0,0,0,0,0,0
1997,4G1,1,129,0,6,4,2,3,3,0,2,1
1997,4G1,7,316,0,0,1,0,0,0,0,0,1
1997,4G1,2,097,0,0,0,1,0,0,0,1,1
1997,4G1,3,012,0,6,1,3,2,2,0,1,0
1997,4G1,4,261,0,0,0,0,1,0,0,1,0
1997,4G1,5,833,0,2,3,1,0,0,0,0,0
1997,4G1,6,802,0,0,0,0,0,1,0,0,0
1997,4G1,8,371,0,0,0,0,0,0,1,0,0
1997,4G2,1,129,0,8,4,3,4,2,1,0,0
1997,4G2,5,833,0,0,1,0,0,0,1,0,0
1997,4G2,7,316,0,7,2,1,0,0,0,0,0
1997,4H1,7,316,0,0,0,0,0,0,1,0,0
1997,4H1,4,261,0,0,1,0,1,1,0,0,0
1997,4H1,1,129,0,1,3,1,0,0,0,0,0
1997,4H2,1,129,0,3,2,0,0,0,0,0,0
1997,4H2,2,097,0,0,0,0,0,0,1,0,0
1997,4H2,4,261,0,0,0,0,1,0,0,0,0
1997,4H3,7,316,0,1,1,0,1,0,0,2,0
1997,4H3,2,097,0,0,1,0,0,0,0,0,0
1997,4H3,4,261,0,0,0,1,0,0,0,0,0
1997,4I1,7,316,0,7,9,0,0,0,0,0,0
1997,4I1,4,261,0,1,0,0,1,0,0,2,2
1997,4I1,3,012,0,1,2,0,0,0,0,0,0
1997,4I1,25,585,0,3,1,0,1,0,0,0,0
1997,4I2,1,129,0,4,3,1,2,0,0,0,1
1997,4I2,7,316,0,3,3,2,0,2,1,0,0
1997,4I2,3,012,0,1,0,2,2,3,1,0,0
1997,4I2,4,261,0,0,1,2,1,3,1,0,1
1997,4I2,2,097,0,1,0,0,0,0,0,0,1
1997,4I3,3,012,0,0,2,1,3,1,1,1,1
1997,4I3,5,833,0,0,0,1,0,0,0,0,0
1997,4I3,4,261,0,0,0,0,0,1,0,0,0
1997,4I3,7,316,0,1,0,1,1,0,0,0,0
1997,4I4,25,585,0,9,12,3,0,0,0,0,0
1997,4I4,3,012,0,1,0,0,0,0,0,0,0
1997,4I4,5,833,0,0,0,0,0,0,0,1,1
1997,4I4,7,316,0,1,2,0,0,0,1,0,1
1997,4I4,2,097,0,0,0,0,0,0,1,0,0
1997,4I4,1,129,0,1,2,0,0,0,0,0,0
1997,4I4,4,261,0,1,0,0,0,0,0,0,0
1997,4J1,3,012,0,3,0,1,0,3,0,1,0
1997,4J1,7,316,0,0,1,0,0,0,1,0,0
1997,4J1,5,833,0,0,0,1,0,0,0,0,0
1997,4J1,4,261,0,2,0,0,0,0,0,0,0
1997,4J2,1,129,0,0,1,1,1,1,0,0,0
1997,4J2,2,097,0,0,1,0,0,0,0,0,0
1997,4J2,5,833,0,0,0,0,0,0,1,0,0
1997,4J2,7,316,0,0,0,0,1,1,0,0,0
1997,4J3,3,012,0,3,2,1,3,1,0,0,0
1997,4J3,7,316,0,0,0,0,0,1,0,0,0
1997,4J3,4,261,0,1,0,1,0,0,0,0,0
1997,4J3,2,097,0,1,2,1,0,0,0,0,0
1997,5D2,7,316,0,0,1,0,0,0,1,0,1
1997,5D2,1,129,0,0,0,0,1,0,0,0,0
1997,5D2,3,012,0,1,1,0,1,0,0,0,1
1997,5D2,12,541,0,0,1,0,0,0,0,0,0
1997,5D4,1,129,0,2,0,0,0,0,0,0,0
1997,5D4,8,371,0,1,0,0,0,0,0,0,0
1997,5D4,3,012,0,1,1,0,0,0,0,0,1
1997,5D4,7,316,0,0,0,0,1,0,0,0,1
1997,5D4,5,833,0,2,2,0,0,0,0,0,0
1997,5E1,7,316,0,2,0,0,1,0,0,1,0
1997,5E1,3,012,0,0,0,1,0,0,0,0,0
1997,5E1,5,833,0,0,0,0,0,0,0,1,0
1997,5E1,4,261,0,1,0,0,0,0,0,0,0
1997,5E1,7.1,316,0,1,6,1,0,0,0,0,0
1997,5E3,7,316,0,2,0,0,0,0,0,0,0
1997,5E3,3,012,0,0,0,1,0,0,0,0,0
1997,5E3,8,371,0,0,0,0,0,1,1,0,0
1997,5F1,3,012,0,4,4,7,5,2,4,4,0
1997,5F1,5,833,0,3,5,0,0,0,0,0,0
1997,5F3,3,012,0,0,0,0,0,2,0,1,0
1997,5F3,5,833,0,0,0,1,0,2,0,0,0
1997,5F3,7,316,0,2,1,0,1,0,1,0,0
1997,5F4,3,012,0,3,4,6,4,1,0,1,0
1997,5F4,5,833,0,0,0,1,0,0,0,0,0
1997,5F4,7,316,0,0,1,0,1,0,0,0,0
1997,5H3,1,129,0,0,3,3,0,1,0,0,0
1997,5H3,2,097,0,0,0,1,0,0,0,0,0
1997,5H3,7,316,0,5,2,0,1,1,0,0,0
1997,5I1,7,316,0,0,1,1,2,1,0,0,1
1997,5I1,8,371,0,5,1,5,0,0,0,0,0
1997,5I1,4,261,0,0,1,2,1,0,0,0,1
1997,5I1,3,012,0,2,2,0,1,1,0,0,0
1997,5I1,1,129,0,0,1,0,0,0,0,0,0
1997,5I1,2,097,0,0,0,1,1,0,0,0,0
1997,5I4,2,097,0,0,0,0,1,0,0,0,1
1997,5I4,4,261,0,0,1,0,0,0,0,0,0
1997,5I4,3,012,0,1,1,0,0,0,0,0,0
1997,5I4,1,129,0,3,0,0,0,0,0,0,0
1997,5I4,7,316,0,1,2,1,0,0,0,0,2
1997,5J1,25,585,0,18,6,2,0,0,0,0,0
