YEAR,QUAD,SPEC,FIASP,COND,SZ2,SZ3,SZ4,SZ5,SZ6,SZ7,SZ8,SZ9
1984,5E2,5,833,0,0,0,1,0,0,0,0,0
1984,5E2,4,261,0,0,0,0,1,0,0,0,0
1984,5E2,6,802,0,1,0,0,0,0,0,0,0
1984,5E2,1,129,0,1,0,0,0,0,0,0,0
1984,5E3,8,371,0,1,1,1,0,0,0,0,0
1984,5E3,7,316,0,4,5,6,3,2,1,0,1
1984,5E3,7,316,1,5,2,2,1,1,0,0,0
1984,5E3,3,012,0,0,3,0,1,0,0,0,0
1984,5E3,1,129,0,0,1,0,0,0,0,0,0
1984,5E3,1,129,1,0,0,0,2,0,0,0,0
1984,5E3,3,012,1,1,0,0,0,0,0,0,0
1984,5E3,6,802,0,0,0,0,1,0,0,0,2
1984,5E4,3,012,0,1,3,3,1,0,0,0,0
1984,5E4,7,316,1,0,0,0,0,0,1,0,0
1984,5E4,7,316,0,1,6,0,1,0,0,3,0
1984,5E4,5,833,0,0,1,0,0,0,0,0,0
1984,5E4,8,371,0,0,0,0,1,0,0,0,0
1984,3F1,3,012,0,8,3,0,1,0,0,0,0
1984,3F1,8,371,0,0,0,0,0,0,0,1,0
1984,3F1,2,097,0,0,1,0,0,0,0,0,0
1984,3F1,29,502,1,1,0,0,0,0,0,0,0
1984,3F1,1,129,1,0,1,0,0,0,0,0,0
1984,3F2,12,541,0,6,5,3,0,2,1,0,0
1984,3F2,7,316,0,1,2,2,0,0,0,0,0
1984,3F2,3,012,0,6,11,4,4,1,1,0,0
1984,3F2,12,541,1,3,0,1,1,0,0,0,0
1984,3F2,10,379,1,0,0,0,0,0,0,1,0
1984,3F2,7,316,1,1,0,0,0,0,0,0,0
1984,3F3,7,316,0,2,3,0,2,0,1,0,0
1984,3F3,7,316,1,1,0,0,0,0,0,0,0
1984,3F3,10,379,1,0,0,0,0,0,0,1,0
1984,3F4,5,833,0,0,1,2,1,1,1,0,0
1984,3F4,5,833,1,2,1,0,0,0,0,0,0
1984,3F4,12,541,0,0,1,1,1,0,0,0,0
1984,3F4,7,316,0,0,1,0,0,1,0,0,0
1984,3F4,10,379,1,0,0,0,1,0,0,0,0
1984,3F4,3,012,0,1,1,0,0,0,0,0,0
1984,3F4,4,261,0,0,0,0,0,0,0,1,0
1984,4F1,7,316,0,1,0,0,0,0,0,0,0
1984,4F1,1,129,0,0,0,0,0,2,0,0,0
1984,4F1,10,379,0,0,0,0,1,1,0,0,0
1984,4F2,16,762,0,0,0,0,0,1,0,0,0
1984,4F2,1,129,0,0,0,0,0,1,0,0,1
1984,4F2,10,379,0,0,0,2,0,0,0,0,0
1984,4F2,5,833,0,1,0,0,0,0,0,0,0
1984,4F3,7,316,0,0,1,2,2,0,2,1,1
1984,4F3,7,316,1,2,0,0,0,0,0,0,0
1984,4F3,5,833,0,0,0,0,2,0,0,1,1
1984,4F3,1,129,0,0,0,0,0,1,0,0,0
1984,4F3,3,012,0,0,0,1,0,0,0,0,0
1984,4F4,5,833,0,2,1,0,0,0,0,0,0
1984,5F1,3,012,0,6,8,8,4,3,0,0,0
1984,5F1,5,833,0,7,0,0,0,0,0,0,0
1984,5F1,1,129,1,0,0,0,1,0,0,0,0
1984,5F2,4,261,1,0,0,0,0,0,0,1,1
1984,5F2,4,261,0,1,0,0,1,1,0,0,0
1984,5F2,1,129,1,0,0,0,0,0,0,0,1
1984,5F3,7,316,1,2,3,0,0,0,0,0,0
1984,5F3,5,833,0,0,1,0,2,2,1,0,0
1984,5F3,10,379,0,0,0,0,0,0,0,1,0
1984,5F3,3,012,0,1,2,2,0,0,0,0,0
1984,5F3,2,097,0,0,0,0,0,0,0,0,1
1984,5F3,7,316,0,3,1,1,1,0,0,0,0
1984,5F3,6,802,0,0,0,0,0,0,0,1,0
1984,5F3,5,833,1,0,0,1,0,0,0,0,0
1984,5F3,1,129,1,0,0,0,2,0,0,0,0
1984,5F4,3,012,0,7,5,2,1,0,0,0,0
1984,5F4,2,097,0,0,0,1,0,0,0,0,0
1984,5F4,1,129,1,0,0,0,1,0,0,0,0
1984,5F4,5,833,0,0,0,1,0,0,0,0,0
1984,5F4,7,316,0,0,1,1,0,0,0,0,0
1984,5F4,6,802,0,0,0,0,0,0,0,1,0
1984,3G1,7,316,1,1,0,0,0,0,0,0,0
1984,3G1,7,316,0,0,0,0,1,0,1,0,1
1984,3G1,3,012,0,2,0,3,0,3,0,1,1
1984,3G1,6,802,1,0,0,2,0,0,0,0,0
1984,3G1,4,261,0,2,1,0,1,0,1,0,0
1984,3G1,2,097,0,0,1,1,0,1,0,0,0
1984,3G1,3,012,1,0,0,0,0,0,1,0,0
1984,3G1,5,833,1,0,0,0,0,1,0,0,0
1984,3G1,5,833,0,0,0,0,0,0,0,0,1
1984,3G1,8,371,0,0,1,0,0,0,0,0,0
