YEAR,LINE,PLOT,SPEC,FIASP,HT1,HT2,HT3,HT4
2009,N,1,7,316,2,6,1,2
2009,N,6,7,316,17,0,0,0
2009,N,11,7,316,21,1,0,1
2009,N,16,7,316,25,4,0,0
2009,N,21,1,129,1,0,0,0
2009,N,21,7,316,7,2,0,0
2009,N,21,8,371,3,0,0,0
2009,N,21,9,375,0,1,0,0
2009,N,26,1,129,0,1,0,0
2009,N,26,7,316,15,1,0,0
2009,N,26,9,375,3,0,0,0
2009,N,31,1,129,0,0,3,0
2009,N,31,7,316,13,4,0,0
2009,N,31,8,371,2,0,0,0
2009,N,36,7,316,8,2,3,0
2009,N,41,7,316,15,3,0,0
2009,N,41,8,371,2,0,0,0
2009,N,46,7,316,29,0,0,0
2009,N,46,9,375,1,0,0,0
2009,N,46,12,541,0,1,0,0
2009,N,51,1,129,1,0,0,0
2009,N,51,5,833,1,0,0,0
2009,N,51,7,316,21,0,0,0
2009,N,51,9,375,2,0,0,0
2009,N,56,7,316,5,1,0,0
2009,N,61,5,833,0,1,0,0
2009,N,61,7,316,5,1,0,0
2009,N,66,3,12,1,0,0,0
2009,N,66,7,316,17,0,0,0
2009,N,66,8,371,1,0,0,0
2009,N,71,7,316,10,0,0,0
2009,N,76,4,261,1,0,0,0
2009,N,76,7,316,3,0,0,0
2009,N,76,8,371,1,0,0,0
2009,N,81,1,129,0,1,0,0
2009,N,81,7,316,6,2,0,0
2009,N,86,1,129,0,0,2,0
2009,N,86,3,12,0,0,2,0
2009,N,86,7,316,0,1,0,0
2009,N,91,1,129,3,0,0,0
2009,N,91,7,316,7,0,0,0
2009,N,91,8,371,6,0,0,0
2009,N,96,1,129,5,2,0,0
2009,N,96,7,316,2,0,0,0
2009,N,96,8,371,2,0,0,0
2009,N,101,1,129,9,0,0,0
2009,N,101,7,316,3,0,0,0
2009,N,101,8,371,7,0,0,0
2009,N,106,1,129,11,0,0,0
2009,N,106,7,316,5,0,0,0
2009,N,106,8,371,3,0,0,0
2009,N,111,1,129,11,0,0,0
2009,N,111,7,316,9,0,0,0
2009,N,116,1,129,11,1,0,0
2009,N,116,7,316,10,0,0,0
2009,N,121,7,316,1,0,0,0
2009,N,121,8,371,1,0,0,0
2009,N,126,1,129,4,1,0,0
2009,N,126,7,316,2,0,0,0
2009,N,126,8,371,1,0,0,0
2009,N,131,1,129,4,0,0,0
2009,N,131,8,371,2,0,0,0
2009,N,136,1,129,3,0,0,0
2009,N,141,1,129,3,3,0,0
2009,N,141,7,316,3,0,0,0
2009,N,146,1,129,11,0,0,0
2009,N,146,4,261,1,0,0,0
2009,N,146,7,316,3,0,0,0
2009,N,151,1,129,12,0,0,0
2009,N,151,3,12,2,0,0,0
2009,N,151,7,316,3,1,0,0
2009,N,156,1,129,21,0,0,0
2009,N,156,3,12,4,0,0,0
2009,N,156,7,316,1,0,0,0
2009,N,156,8,371,4,0,0,0
2009,N,156,13,315,1,0,0,0
2009,N,161,1,129,9,0,0,0
2009,N,161,3,12,2,0,0,0
2009,N,166,1,129,4,0,0,0
2009,N,166,2,97,0,0,1,0
2009,N,166,7,316,1,0,0,0
2009,N,166,8,371,1,0,0,0
2009,N,171,1,129,2,0,0,0
2009,N,171,2,97,1,0,0,0
2009,N,171,3,12,2,0,0,0
2009,N,176,1,129,3,0,0,0
2009,N,176,7,316,1,0,0,0
2009,N,176,8,371,2,0,0,0
2009,N,181,1,129,1,0,0,0
2009,N,181,7,316,4,0,0,0
2009,N,186,1,129,10,0,0,0
2009,N,186,8,371,7,0,0,0
2009,N,191,1,129,11,0,0,0
2009,N,191,3,12,1,0,0,0
2009,N,191,7,316,3,0,0,0
2009,N,196,1,129,3,2,1,0
2009,N,196,3,12,1,0,0,0
