YEAR,LINE,PLOT,SPEC,FIASP,HT1,HT2,HT3,HT4
88,N,1,5,833,0,1,0,0
88,N,1,7,316,2,38,0,0
88,N,6,5,833,0,1,0,0
88,N,6,7,316,4,6,0,0
88,N,6,9,375,9,0,0,0
88,N,6,12,541,0,1,0,0
88,N,6,16,762,1,0,0,0
88,N,11,7,316,4,1,0,0
88,N,11,10,379,2,1,0,0
88,N,16,7,316,6,6,0,0
88,N,16,10,379,6,0,0,0
88,N,16,12,541,0,1,0,0
88,N,16,15,746,0,1,0,0
88,N,21,5,833,0,1,0,0
88,N,21,6,802,0,1,0,0
88,N,21,7,316,0,1,0,0
88,N,21,12,541,0,4,0,0
88,N,21,15.1,746,0,11,0,0
88,N,26,12.1,541,0,1,0,0
88,N,31,5,833,0,1,0,0
88,N,31,7,316,1,3,0,0
88,N,31,9,375,1,0,0,0
88,N,31,10,379,10,0,0,0
88,N,31,15.1,746,0,6,0,0
88,N,36,7,316,3,2,0,0
88,N,36,10,379,1,0,0,0
88,N,36,12,541,0,1,0,0
88,N,36,15.1,746,0,8,5,0
88,N,41,7,316,2,3,0,0
88,N,41,10,379,17,0,0,0
88,N,41,12.1,541,0,2,1,0
88,N,41,15.1,746,0,0,2,0
88,N,46,7,316,4,0,0,0
88,N,46,10,379,12,0,0,0
88,N,46,12,541,0,4,1,1
88,N,51,7,316,4,0,0,0
88,N,56,7,316,14,0,0,0
88,N,56,8,371,2,0,0,0
88,N,61,7,316,21,0,0,0
88,N,61,8,371,27,0,0,0
88,N,61,12,541,0,1,0,0
88,N,66,6,802,1,0,0,0
88,N,66,7,316,2,1,0,0
88,N,66,12,541,0,6,1,0
88,N,71,5,833,0,3,0,0
88,N,76,0,0,0,0,0,0
88,N,81,5,833,1,0,0,0
88,N,81,7,316,1,0,0,0
88,N,86,1,129,2,0,0,0
88,N,86,3,12,1,0,0,0
88,N,86,7,316,3,0,0,0
88,N,91,0,0,0,0,0,0
88,N,96,7,316,1,0,0,0
88,N,101,1,129,1,0,0,0
88,N,101,5,833,2,0,0,0
88,N,106,7,316,2,0,0,0
88,N,111,0,0,0,0,0,0
88,N,116,1,129,1,0,0,0
88,N,116,3,12,0,1,0,0
88,N,116,7,316,1,0,0,0
88,N,121,7,316,1,0,0,0
88,N,126,1,129,1,0,0,0
88,N,131,7,316,4,0,0,0
88,N,136,5,833,0,1,0,0
88,N,136,7,316,0,1,0,0
88,N,141,0,0,0,0,0,0
88,N,146,0,0,0,0,0,0
88,N,151,1,129,1,0,0,0
88,N,151,3,12,2,0,0,0
88,N,156,1,129,1,0,0,0
88,N,161,0,0,0,0,0,0
88,N,166,1,129,1,0,0,0
88,N,166,2,97,1,0,0,0
88,N,171,0,0,0,0,0,0
88,N,176,0,0,0,0,0,0
88,N,181,0,0,0,0,0,0
88,N,186,1,129,1,1,0,0
88,N,186,5,833,0,1,0,0
88,N,191,7.1,316,0,2,1,0
88,N,191,8,371,0,1,0,0
88,N,196,1,129,3,0,0,0
88,N,196,3,12,2,0,0,0
88,N,201,0,0,0,0,0,0
88,N,206,3,12,1,0,0,0
88,N,211,3,12,0,1,0,0
88,N,216,0,0,0,0,0,0
88,N,221,3,12,0,0,2,0
88,N,226,7,316,0,1,0,0
88,N,226,9,375,1,0,0,0
88,N,231,1,129,1,0,0,0
88,N,231,2.1,97,0,1,0,0
88,N,236,1,129,5,0,0,0
88,N,236,7,316,1,0,0,0
88,N,241,7.1,316,0,1,0,0
