YEAR,LINE,PLOT,SPEC,FIASP,HT1,HT2,HT3,HT4
1995,N,1,7,316,5,13,4,2
1995,N,1,5,833,0,2,0,0
1995,N,1,12,541,0,1,1,0
1995,N,6,7,316,5,3,0,0
1995,N,6,5,833,0,0,1,0
1995,N,6,12,541,1,0,0,0
1995,N,11,7,316,8,2,1,0
1995,N,11,12,541,1,0,1,0
1995,N,16,7,316,6,8,2,0
1995,N,16,15,746,0,0,1,0
1995,N,21,5,833,0,1,0,0
1995,N,21,15,746,0,0,1,2
1995,N,21,12,541,0,0,2,0
1995,N,21,7,316,1,0,0,0
1995,N,26,7,316,2,0,0,0
1995,N,31,5,833,0,1,0,0
1995,N,31,7,316,1,0,1,1
1995,N,31,9,375,0,1,0,1
1995,N,31,15,746,0,0,1,0
1995,N,36,7,316,2,6,0,0
1995,N,36,12,541,0,1,1,0
1995,N,36,15,746,0,0,1,1
1995,N,36,5,833,0,1,0,0
1995,N,36,6,802,0,1,0,0
1995,N,41,9,375,0,0,2,0
1995,N,41,7,316,1,4,1,0
1995,N,41,15,746,0,0,1,0
1995,N,41,12,541,1,0,1,0
1995,N,41,8,371,0,1,0,0
1995,N,46,7,316,3,1,0,0
1995,N,46,12,541,0,3,1,0
1995,N,46,8,371,0,1,0,0
1995,N,51,5,833,0,1,0,0
1995,N,51,7,316,1,0,0,0
1995,N,56,7,316,0,2,0,0
1995,N,61,7,316,3,1,0,0
1995,N,61,4,261,1,0,0,0
1995,N,61,5,833,0,2,0,0
1995,N,66,12,541,0,1,1,0
1995,N,66,15,746,0,0,1,0
1995,N,66,6,802,0,0,1,0
1995,N,71,5,833,0,2,0,0
1995,N,71,7,316,1,0,0,0
1995,N,76,9,375,1,0,0,0
1995,N,76,7,316,1,0,0,0
1995,N,81,7,316,2,1,0,0
1995,N,81,5,833,0,1,0,0
1995,N,86,7,316,5,4,0,0
1995,N,86,5,833,1,0,0,0
1995,N,86,1,129,1,1,0,0
1995,N,86,3,012,0,2,0,0
1995,N,91,7,316,1,0,0,0
1995,N,91,12,541,1,0,0,0
1995,N,96,5,833,3,1,0,0
1995,N,96,7,316,1,0,0,0
1995,N,101,5,833,0,2,0,0
1995,N,106,12,541,1,0,0,0
1995,N,106,7,316,1,0,0,0
1995,N,111,1,129,1,0,0,0
1995,N,116,7,316,2,0,0,0
1995,N,121,7,316,1,0,0,0
1995,N,121,12,541,1,0,0,0
1995,N,126,1,129,0,1,0,0
1995,N,131,7,316,3,0,0,0
1995,N,131,5,833,0,1,0,0
1995,N,136,5,833,0,2,0,0
1995,N,136,7,316,0,1,0,0
1995,N,141,.,999,0,0,0,0
1995,N,146,7,316,2,0,0,0
1995,N,151,1,129,1,0,0,0
1995,N,151,3,012,0,2,0,0
1995,N,156,7,316,1,0,0,0
1995,N,161,.,999,0,0,0,0
1995,N,166,2,097,0,1,0,0
1995,N,171,7,316,1,0,0,0
1995,N,176,2,097,0,0,1,0
1995,N,181,1,129,1,0,0,0
1995,N,181,3,012,0,1,0,0
1995,N,186,1,129,0,1,0,0
1995,N,191,7,316,0,0,1,0
1995,N,191,5,833,0,1,0,0
