YEAR,LINE,PLOT,SPEC,FIASP,HT1,HT2,HT3,HT4
2008,N,1,7,316,0,6,4,0
2008,N,6,7,316,1,1,0,0
2008,N,11,7,316,6,2,1,0
2008,N,11,1,129,1,0,0,0
2008,N,16,7,316,5,4,0,0
2008,N,21,7,316,2,0,0,0
2008,N,21,10,379,2,0,0,0
2008,N,26,7,316,3,1,0,0
2008,N,26,1,129,1,0,0,0
2008,N,31,7,316,5,7,0,0
2008,N,31,1,129,0,1,0,0
2008,N,36,7,316,5,6,0,0
2008,N,41,7,316,1,3,0,0
2008,N,46,7,316,3,0,0,0
2008,N,51,7,316,2,0,0,0
2008,N,56,7,316,1,0,0,0
2008,N,61,7,316,8,0,0,0
2008,N,61,5,833,0,1,0,0
2008,N,66,7,316,2,0,0,0
2008,N,71,7,316,1,0,0,0
2008,N,76,4,261,1,0,0,0
2008,N,81,7,316,1,0,0,0
2008,N,86,7,316,1,1,0,0
2008,N,86,3,012,0,0,2,0
2008,N,86,1,129,0,0,1,0
2008,N,91,7,316,4,0,0,0
2008,N,91,10,379,1,0,0,0
2008,N,96,1,129,0,2,0,0
2008,N,96,4,261,1,0,0,0
2008,N,96,7,316,1,0,0,0
2008,N,101,7,316,1,0,0,0
2008,N,101,1,129,1,0,0,0
2008,N,106,0,000,0,0,0,0
2008,N,111,7,316,3,0,0,0
2008,N,111,1,129,2,0,0,0
2008,N,116,7,316,5,0,0,0
2008,N,116,1,129,1,0,0,0
2008,N,121,7,316,1,0,0,0
2008,N,126,1,129,0,1,0,0
2008,N,131,0,000,0,0,0,0
2008,N,136,1,129,2,0,0,0
2008,N,141,7,316,2,0,0,0
2008,N,140,1,129,1,4,0,0
2008,N,146,0,000,0,0,0,0
2008,N,151,7,316,3,0,0,0
2008,N,151,4,261,2,0,0,0
2008,N,151,1,129,1,0,0,0
2008,N,156,13,315,1,0,0,0
2008,N,156,7,316,1,0,0,0
2008,N,156,1,129,2,0,0,0
2008,N,156,3,012,5,0,0,0
2008,N,161,0,000,0,0,0,0
2008,N,166,3,012,0,0,1,0
2008,N,171,0,000,0,0,0,0
2008,N,176,0,000,0,0,0,0
2008,N,181,1,129,2,1,0,0
2008,N,186,1,129,1,0,0,0
2008,N,191,1,129,3,2,0,0
2008,N,191,4,261,4,0,0,0
2008,N,191,3,012,0,1,0,0
2008,N,196,1,129,2,1,2,0
2008,N,201,1,129,1,0,0,0
2008,N,206,4,261,1,0,0,0
2008,N,206,1,129,1,0,0,0
2008,N,211,7,316,1,0,0,0
2008,N,216,7,316,2,1,0,0
2008,N,221,0,000,0,0,0,0
2008,N,226,3,012,0,0,1,0
2008,N,226,1,129,1,0,0,0
2008,N,226,2,097,1,0,0,0
2008,N,226,7,316,1,0,0,0
2008,N,231,2,097,0,0,1,0
2008,N,236,7,316,1,0,0,0
2008,N,236,1,129,5,2,0,0
2008,N,241,7,316,6,8,0,0
2008,N,241,1,129,3,5,0,0
2008,N,241,4,261,3,6,0,0
2008,N,246,7,316,4,0,0,0
2008,N,246,1,129,0,3,0,0
2008,N,246,4,261,0,1,0,0
2008,N,251,7,316,6,0,0,0
2008,N,251,1,129,1,1,0,0
2008,N,256,7,316,5,0,0,0
2008,N,256,1,129,1,3,0,0
2008,N,256,4,261,6,0,1,0
2008,N,256,3,012,2,0,0,0
2008,N,256,6,802,1,0,0,0
2008,N,261,1,129,2,0,0,0
2008,N,266,1,129,1,0,0,0
2008,N,266,4,261,1,1,0,0
2008,N,271,5,833,0,1,0,0
2008,N,276,1,129,0,1,0,0
2008,N,276,25,585,1,0,0,0
2008,N,281,1,129,0,2,0,0
2008,N,281,4,261,2,0,0,0
2008,N,286,1,129,0,1,0,0
2008,N,291,7,316,1,0,0,0
2008,N,296,0,000,0,0,0,0
2008,N,301,7,316,1,0,0,0
2008,N,306,7,316,1,0,0,0
2008,N,311,1,129,0,0,1,0
2008,N,316,1,129,3,0,0,0
2008,N,321,1,129,0,1,0,0
2008,N,326,7,316,3,0,0,0
2008,N,331,0,000,0,0,0,0
2008,N,336,2,097,1,0,0,0
2008,N,336,7,316,2,0,0,0
2008,N,336,25,585,1,0,0,0
2008,N,341,7,316,4,0,0,0
2008,N,341,2,097,5,0,0,0
2008,N,341,4,261,3,0,0,0
2008,N,341,1,129,1,0,0,0
2008,N,346,2,097,0,1,0,0
2008,N,351,7,316,2,0,0,0
2008,N,351,4,261,1,0,0,0
2008,N,356,4,261,5,0,0,0
2008,N,356,2,097,2,0,0,0
2008,N,356,7,316,4,0,0,0
2008,N,361,1,129,3,0,0,0
2008,N,361,2,097,4,1,0,0
2008,N,361,7,316,2,0,0,0
2008,N,366,7,316,3,0,0,0
2008,N,371,7,316,3,1,0,0
2008,N,371,2,097,1,3,0,0
2008,N,371,4,261,0,1,0,0
2008,N,371,1,129,3,0,0,0
2008,N,371,4,261,0,1,0,0
2008,N,376,2,097,0,1,0,0
2008,N,376,7,316,0,0,0,0
