YEAR,LINE,PLOT,SPEC,FIASP,HT1,HT2,HT3,HT4
90,N,1,5,833,0,1,0,0
90,N,1,7.1,316,0,11,9,0
90,N,6,5,833,0,1,0,0
90,N,6,7,316,0,0,1,0
90,N,11,7,316,1,1,0,0
90,N,11,7.1,316,0,1,0,0
90,N,11,10,379,0,0,1,0
90,N,11,12,541,0,1,0,0
90,N,16,7,316,2,0,0,0
90,N,16,7.1,316,0,2,1,0
90,N,16,15.1,746,0,0,1,0
90,N,21,5,833,0,1,0,0
90,N,21,7,316,1,0,0,0
90,N,21,12,541,0,0,2,0
90,N,21,15.1,746,0,0,7,1
90,N,26,0,0,0,0,0,0
90,N,31,5,833,0,1,0,0
90,N,31,7.1,316,0,3,0,0
90,N,31,9,375,0,1,0,0
90,N,31,15.1,746,0,0,1,0
90,N,36,7,316,1,0,0,0
90,N,36,7.1,316,0,2,0,0
90,N,36,12,541,0,1,0,0
90,N,36,15.1,746,0,0,7,0
90,N,41,7,316,0,4,0,0
90,N,41,9,375,0,2,0,0
90,N,41,12,541,0,0,1,0
90,N,41,15.1,746,0,0,2,0
90,N,46,7,316,6,0,0,0
90,N,46,8,371,1,0,0,0
90,N,46,12,541,0,1,0,1
90,N,51,0,0,0,0,0,0
90,N,56,7,316,6,0,0,0
90,N,61,7,316,3,0,0,0
90,N,61,12,541,0,1,0,0
90,N,66,6,802,0,1,0,0
90,N,66,12,541,0,2,0,0
90,N,66,15.1,746,0,1,0,0
90,N,71,5,833,1,1,0,0
90,N,71,15.1,746,0,0,2,0
90,N,76,7,316,1,0,0,0
90,N,81,0,0,0,0,0,0
90,N,86,1,129,3,0,0,0
90,N,86,3,12,2,0,0,0
90,N,86,7,316,3,0,0,0
90,N,91,0,0,0,0,0,0
90,N,96,7,316,3,0,0,0
90,N,101,7,316,2,0,0,0
90,N,106,1,129,1,0,0,0
90,N,106,7,316,1,0,0,0
90,N,111,0,0,0,0,0,0
90,N,116,7,316,1,0,0,0
90,N,121,7,316,1,0,0,0
90,N,126,1,129,1,0,0,0
90,N,131,7,316,1,0,0,0
90,N,136,5,833,0,1,0,0
90,N,136,7,316,1,0,0,0
90,N,141,0,0,0,0,0,0
90,N,146,0,0,0,0,0,0
90,N,151,1,129,2,0,0,0
90,N,151,3,12,2,0,0,0
90,N,156,0,0,0,0,0,0
90,N,161,0,0,0,0,0,0
90,N,166,1,129,1,0,0,0
90,N,166,2,97,1,0,0,0
90,N,171,7,316,1,0,0,0
90,N,176,1,129,1,0,0,0
90,N,181,0,0,0,0,0,0
90,N,186,1,129,0,1,0,0
90,N,186,7,316,1,0,0,0
90,N,191,7,316,1,0,0,0
90,N,191,7.1,316,0,2,1,0
90,N,196,1,129,3,0,0,0
90,N,196,3,12,1,0,0,0
90,N,196,7,316,1,0,0,0
90,N,201,7,316,1,0,0,0
90,N,206,3,12,1,0,0,0
90,N,211,3,12,0,1,0,0
90,N,211,7,316,2,0,0,0
90,N,216,0,0,0,0,0,0
90,N,221,3,12,0,0,2,0
90,N,226,1,129,1,0,0,0
90,N,226,2,97,1,0,0,0
90,N,226,7,316,3,1,0,0
90,N,231,1,129,1,0,0,0
90,N,231,2,97,0,1,0,0
90,N,231,7,316,2,0,0,0
90,N,236,1,129,2,0,0,0
90,N,236,4,261,1,0,0,0
90,N,236,7,316,2,0,0,0
90,N,241,7,316,6,2,0,0
90,N,241,8,371,2,0,0,0
90,N,246,4,261,1,0,0,0
90,N,246,7,316,2,1,0,0
90,N,246,7.1,316,0,0,2,0
90,N,246,8,371,2,0,0,0
90,N,251,7,316,4,1,0,0
90,N,256,4,261,2,0,0,0
90,N,256,7,316,8,0,0,0
90,N,261,7,316,2,0,0,0
90,N,261,12.1,541,0,0,1,0
90,N,266,8,371,1,0,0,0
90,N,271,0,0,0,0,0,0
90,N,276,4,261,1,0,0,0
