YEAR,LINE,PLOT,SPEC,FIASP,HT1,HT2,HT3,HT4
2011,N,1,5,833,3,0,0,0
2011,N,1,7,316,3,0,0,5
2011,N,6,7,316,4,0,0,0
2011,N,11,7,316,6,0,0,1
2011,N,16,5,833,3,0,0,0
2011,N,16,7,316,16,0,0,0
2011,N,21,3,12,2,0,0,0
2011,N,21,7,316,7,0,0,0
2011,N,26,1,129,1,0,0,0
2011,N,26,7,316,7,0,0,0
2011,N,31,7,316,23,0,0,0
2011,N,36,7,316,6,0,0,0
2011,N,41,7,316,9,0,0,0
2011,N,46,7,316,24,0,0,0
2011,N,51,5,833,4,0,0,0
2011,N,51,7,316,21,0,0,0
2011,N,56,5,833,4,0,0,0
2011,N,56,7,316,2,0,0,0
2011,N,61,5,833,2,0,0,0
2011,N,61,7,316,6,0,0,0
2011,N,66,5,833,4,0,0,0
2011,N,66,7,316,5,0,0,0
2011,N,71,5,833,3,0,0,0
2011,N,71,7,316,4,0,0,0
2011,N,76,1,129,1,0,0,0
2011,N,76,3,12,1,0,0,0
2011,N,76,7,316,1,0,0,0
2011,N,81,1,129,1,0,0,0
2011,N,81,5,833,3,0,0,0
2011,N,86,1,129,2,0,0,0
2011,N,86,3,12,0,11,0,0
2011,N,86,5,833,5,0,0,0
2011,N,86,7,316,1,0,0,0
2011,N,91,1,129,3,0,0,0
2011,N,91,5,833,1,0,0,0
2011,N,91,7,316,6,0,0,0
2011,N,91,9,375,2,0,0,0
2011,N,96,1,129,2,2,1,0
2011,N,96,7,316,1,0,0,0
2011,N,101,1,129,3,0,0,0
2011,N,101,7,316,5,0,0,0
2011,N,106,1,129,1,0,0,0
2011,N,106,2,97,1,0,0,0
2011,N,106,7,316,3,0,0,0
2011,N,111,1,129,3,0,0,0
2011,N,111,7,316,1,0,0,0
2011,N,116,1,129,6,0,0,0
2011,N,116,5,833,3,0,0,0
2011,N,116,7,316,5,0,0,0
2011,N,121,5,833,5,0,0,0
2011,N,121,7,316,2,0,0,0
2011,N,126,1,129,2,0,0,0
2011,N,126,5,833,7,0,0,0
2011,N,131,1,129,1,0,0,0
2011,N,136,1,129,0,1,0,0
2011,N,141,1,129,1,1,0,0
2011,N,141,7,316,4,0,0,0
