YEAR,LINE,PLOT,SPEC,FIASP,HT1,HT2,HT3,HT4
1999,N,1,5,833,0,1,1,0
1999,N,1,7,316,1,7,5,2
1999,N,6,1,129,1,0,0,0
1999,N,6,5,833,0,0,1,0
1999,N,6,7,316,7,2,0,0
1999,N,6,9,375,0,1,0,0
1999,N,11,1,129,3,0,0,0
1999,N,11,9,375,1,0,0,0
1999,N,11,13,315,0,0,1,0
1999,N,16,7,316,6,6,3,1
1999,N,21,1,129,0,0,1,0
1999,N,21,5,833,0,1,0,0
1999,N,21,7,316,1,2,0,0
1999,N,21,8,371,0,0,1,0
1999,N,26,7,316,6,1,0,0
1999,N,31,1,129,1,1,0,0
1999,N,31,5,833,0,1,0,0
1999,N,31,7,316,4,1,1,0
1999,N,31,8,371,0,0,0,1
1999,N,36,6,802,0,1,0,0
1999,N,36,7,316,2,5,1,0
1999,N,36,13,315,0,1,1,0
1999,N,41,7,316,0,3,1,0
1999,N,41,13,315,0,0,0,1
1999,N,41,552,999,0,0,0,1
1999,N,46,5,833,1,0,0,0
1999,N,46,7,316,0,1,0,0
1999,N,46,13,315,5,1,0,0
1999,N,51,0,0,0,0,0,0
1999,N,56,5,833,1,0,0,0
1999,N,56,7,316,2,0,0,0
1999,N,61,5,833,2,1,0,0
1999,N,61,6,802,1,0,0,0
1999,N,61,7,316,7,1,0,0
1999,N,61,8,371,25,0,0,0
1999,N,61,9,375,3,0,0,0
1999,N,66,5,833,0,0,1,0
1999,N,66,7,316,4,1,0,0
1999,N,66,12,541,3,0,0,0
1999,N,71,5,833,1,1,0,0
1999,N,71,7,316,4,0,0,0
1999,N,76,1,129,1,0,0,0
1999,N,76,13,315,1,0,0,0
1999,N,81,5,833,0,1,0,0
1999,N,86,1,129,0,2,1,0
1999,N,86,3,12,0,0,1,0
1999,N,86,7,316,2,4,0,0
1999,N,91,7,316,1,0,0,0
1999,N,96,1,129,5,1,0,0
1999,N,96,7,316,1,0,0,0
1999,N,101,5,833,1,0,0,0
1999,N,106,1,129,1,0,0,0
1999,N,111,1,129,1,0,0,0
1999,N,116,1,129,1,0,0,0
1999,N,116,7,316,3,0,0,0
1999,N,121,7,316,1,0,0,0
1999,N,126,1,129,0,2,0,0
1999,N,131,5,833,1,0,0,0
1999,N,131,7,316,1,0,0,0
1999,N,136,5,833,0,1,0,0
1999,N,136,6,802,0,1,0,0
1999,N,136,7,316,0,1,0,0
1999,N,141,1,129,3,0,0,0
1999,N,146,1,129,1,0,0,0
1999,N,146,7,316,1,0,0,0
1999,N,151,1,129,1,0,0,0
1999,N,151,3,12,0,2,0,0
1999,N,156,0,0,0,0,0,0
1999,N,161,1,129,1,0,0,0
1999,N,166,1,129,1,0,0,0
1999,N,166,2,97,0,1,0,0
1999,N,171,1,129,1,0,0,0
1999,N,171,4,261,1,0,0,0
1999,N,176,0,0,0,0,0,0
1999,N,181,1,129,1,0,0,0
1999,N,181,3,12,1,0,0,0
1999,N,181,7,316,1,0,0,0
1999,N,186,7,316,1,0,0,0
1999,N,191,1,129,3,0,0,0
1999,N,191,7,316,0,1,2,0
1999,N,196,1,129,1,1,0,0
1999,N,196,3,12,0,1,0,0
1999,N,201,0,0,0,0,0,0
1999,N,206,3,12,1,0,0,0
1999,N,211,3,12,0,1,0,0
1999,N,216,5,833,0,1,0,0
1999,N,221,3,12,0,0,2,0
1999,N,226,1,129,1,0,0,0
1999,N,226,2,97,0,1,0,0
1999,N,226,4,261,0,1,0,0
1999,N,226,7,316,2,0,0,0
1999,N,231,1,129,1,0,0,0
1999,N,231,2,97,0,1,0,0
1999,N,231,7,316,2,0,0,0
1999,N,236,1,129,3,0,0,0
1999,N,236,4,261,3,0,0,0
1999,N,236,7,316,3,0,0,0
1999,N,241,1,129,1,0,0,0
1999,N,241,4,261,2,0,0,0
1999,N,241,7,316,7,2,0,0
1999,N,246,1,129,3,2,0,0
1999,N,246,7,316,0,2,0,2
1999,N,246,8,371,0,1,0,0
1999,N,251,7,316,2,5,0,0
1999,N,256,1,129,4,1,0,0
1999,N,256,4,261,6,0,1,0
1999,N,256,7,316,6,0,0,0
1999,N,261,7,316,0,1,1,0
1999,N,261,12,541,0,0,1,0
1999,N,266,7,316,1,0,0,0
1999,N,271,8,371,0,0,1,0
1999,N,276,0,0,0,0,0,0
1999,N,281,0,0,0,0,0,0
1999,N,286,7,316,0,1,0,0
1999,N,286,8,371,0,3,4,0
1999,N,291,0,0,0,0,0,0
1999,N,296,0,0,0,0,0,0
1999,N,301,0,0,0,0,0,0
1999,N,306,0,0,0,0,0,0
1999,N,311,1,129,1,0,1,0
1999,N,311,7,316,0,1,0,0
1999,N,316,1,129,1,0,0,0
1999,N,321,1,129,3,0,2,0
1999,N,321,7,316,0,1,0,0
1999,N,326,7,316,1,0,0,0
1999,N,331,0,0,0,0,0,0
1999,N,336,1,129,2,0,0,0
1999,N,341,1,129,1,0,0,0
1999,N,346,1,129,1,0,0,0
1999,N,346,2,97,1,0,0,0
1999,N,346,4,261,1,0,0,0
1999,N,351,1,129,2,0,0,0
1999,N,351,4,261,1,0,0,0
1999,N,351,7,316,2,0,0,0
1999,N,356,1,129,7,1,0,0
1999,N,356,3,12,0,4,0,0
1999,N,356,4,261,3,2,0,0
1999,N,361,2,97,1,0,0,0
1999,N,366,1,129,1,0,0,0
1999,N,366,25,585,1,0,0,0
1999,N,371,1,129,2,3,0,0
1999,N,371,4,261,1,2,1,0
1999,N,371,7,316,2,1,0,0
1999,N,376,2,97,0,0,1,0
1999,N,381,0,0,0,0,0,0
1999,N,386,1,129,1,0,0,0
1999,N,386,2,97,2,0,0,0
1999,N,386,7,316,2,0,0,0
1999,N,386,25,585,1,0,0,0
1999,N,391,1,129,10,0,0,0
1999,N,391,2,97,2,0,1,0
1999,N,391,6,802,0,2,0,0
1999,N,391,7,316,24,0,0,0
1999,N,391,9,375,1,0,0,0
1999,N,391,25,585,0,1,0,0
1999,N,396,1,129,1,0,0,0
1999,N,396,2,97,0,0,1,0
1999,N,396,3,12,0,0,1,0
1999,N,396,7,316,4,0,0,0
1999,N,396,25,585,0,0,0,1
1999,N,396,31,999,0,1,0,0
1999,N,401,1,129,4,0,0,0
1999,N,401,5,833,0,1,0,0
1999,N,401,7,316,7,1,0,0
1999,N,401,25,585,0,0,2,0
1999,N,406,7,316,7,0,0,0
1999,N,411,1,129,3,0,0,0
1999,N,411,7,316,2,0,0,0
1999,N,416,1,129,13,0,0,0
1999,N,416,5,833,0,1,0,0
1999,N,416,7,316,3,0,0,0
1999,N,416,25,585,1,1,0,0
1999,N,421,1,129,9,0,0,0
1999,N,421,2,97,0,2,0,0
1999,N,421,7,316,10,0,0,0
1999,N,426,1,129,4,0,0,0
1999,N,426,5,833,0,1,1,0
1999,N,426,7,316,3,0,0,0
1999,N,431,1,129,12,0,0,0
1999,N,431,7,316,2,0,0,0
1999,N,436,1,129,5,0,0,0
1999,N,436,7,316,1,0,0,0
1999,N,441,1,129,7,0,0,0
1999,N,446,1,129,9,1,1,0
1999,N,446,3,12,0,1,0,0
1999,N,446,7,316,2,0,0,0
1999,N,451,1,129,1,0,0,0
1999,N,456,1,129,5,0,0,0
1999,N,456,7,316,6,0,0,0
1999,N,461,1,129,25,5,1,0
1999,N,461,7,316,6,0,0,0
1999,N,466,1,129,6,1,0,0
1999,N,466,8,371,0,2,0,0
1999,N,471,1,129,3,0,0,0
1999,N,471,5,833,0,1,0,0
1999,N,476,1,129,2,0,0,0
1999,N,476,5,833,0,1,0,0
1999,N,476,6,802,0,1,0,0
1999,N,476,7,316,1,0,0,0
1999,N,481,1,129,5,1,0,0
1999,N,486,1,129,8,1,0,0
1999,N,486,3,12,2,0,0,0
1999,N,486,7,316,1,0,0,0
1999,N,491,1,129,6,1,0,0
1999,N,491,7,316,3,0,0,0
1999,N,496,1,129,7,1,0,0
1999,N,496,5,833,0,2,0,0
1999,N,496,7,316,3,0,0,0
1999,N,501,1,129,3,0,0,0
1999,N,501,7,316,1,0,0,0
1999,N,506,1,129,6,3,0,0
1999,N,511,1,129,0,1,1,0
1999,N,511,5,833,0,0,1,0
1999,N,516,1,129,11,5,0,0
1999,N,516,7,316,2,0,0,0
1999,N,521,1,129,16,1,0,0
1999,N,521,7,316,4,0,1,0
1999,N,526,7,316,1,0,0,0
1999,N,531,5,833,0,1,0,0
1999,N,531,7,316,1,0,0,0
1999,N,536,1,129,4,1,0,0
1999,N,536,7,316,3,0,0,0
1999,N,541,1,129,7,1,0,0
1999,N,541,7,316,5,1,0,0
1999,N,546,1,129,17,2,1,0
1999,N,546,7,316,20,0,1,0
1999,N,546,25,585,0,1,1,0
1999,N,551,1,129,1,0,0,0
1999,N,551,7,316,7,0,0,0
1999,N,551,25,585,1,0,0,0
1999,N,556,5,833,0,1,0,0
1999,N,556,6,802,0,2,1,0
1999,N,556,7,316,1,0,0,0
1999,N,561,7,316,1,0,0,0
1999,N,566,1,129,1,0,0,0
1999,N,571,3,12,1,0,0,0
1999,N,576,7,316,2,0,0,0
1999,N,581,3,12,1,1,0,0
1999,N,581,7,316,2,0,0,0
1999,N,586,1,129,3,0,0,0
1999,N,586,7,316,3,0,0,0
1999,N,591,1,129,1,1,0,0
1999,N,591,7,316,1,0,0,0
1999,N,591,9,375,1,0,0,0
1999,N,596,1,129,7,0,0,0
1999,N,596,7,316,5,0,0,0
1999,N,596,25,585,1,0,0,0
1999,N,601,1,129,2,0,0,0
1999,N,601,3,12,1,0,0,0
1999,N,601,6,802,0,0,1,0
1999,N,601,7,316,13,0,0,0
1999,N,601,25,585,1,0,0,0
1999,S,1,1,129,2,0,0,0
1999,S,1,2,97,0,1,0,0
1999,S,1,3,12,0,1,0,0
1999,S,1,7,316,2,0,0,0
1999,S,6,7,316,1,0,0,0
1999,S,11,0,0,0,0,0,0
1999,S,16,0,0,0,0,0,0
1999,S,21,0,0,0,0,0,0
1999,S,26,0,0,0,0,0,0
1999,S,31,0,0,0,0,0,0
1999,S,36,0,0,0,0,0,0
1999,S,41,0,0,0,0,0,0
1999,S,46,0,0,0,0,0,0
1999,S,51,0,0,0,0,0,0
1999,S,56,0,0,0,0,0,0
1999,S,61,0,0,0,0,0,0
1999,S,66,7,316,2,0,0,0
1999,S,71,0,0,0,0,0,0
1999,S,76,1,129,1,1,0,0
1999,S,76,7,316,3,0,0,0
1999,S,81,1,129,0,1,0,0
1999,S,81,2,97,0,1,0,0
1999,S,86,1,129,2,0,0,0
1999,S,86,6,802,1,0,0,0
1999,S,86,7,316,6,0,0,0
1999,S,91,1,129,1,1,1,0
1999,S,91,4,261,0,0,1,0
1999,S,96,7,316,2,0,0,0
1999,S,101,7,316,1,0,0,0
1999,S,106,1,129,4,0,0,0
1999,S,106,4,261,1,0,0,0
1999,S,106,7,316,5,0,0,0
1999,S,111,1,129,3,1,0,0
1999,S,111,7,316,3,0,0,0
1999,S,116,1,129,2,0,0,0
1999,S,116,7,316,3,0,0,0
1999,S,126,1,129,1,0,0,0
1999,S,131,7,316,1,0,0,0
1999,S,136,1,129,1,1,0,0
1999,S,136,5,833,1,0,0,0
1999,S,136,7,316,2,0,0,0
1999,S,141,1,129,1,0,0,0
1999,S,141,4,261,1,0,0,0
1999,S,141,5,833,1,0,0,0
1999,S,141,7,316,3,0,0,0
1999,S,146,1,129,1,1,0,0
1999,S,146,7,316,1,0,0,0
1999,S,151,1,129,0,1,2,0
1999,S,156,1,129,1,0,0,0
1999,S,156,4,261,0,1,0,0
1999,S,156,6,802,1,0,0,0
1999,S,161,1,129,9,2,0,0
1999,S,161,3,12,0,1,0,0
1999,S,161,5,833,0,1,0,0
1999,S,161,7,316,2,0,0,0
1999,S,166,1,129,2,0,1,0
1999,S,166,7,316,3,0,0,0
1999,S,171,1,129,2,2,0,0
1999,S,176,0,0,0,0,0,0
1999,S,181,0,0,0,0,0,0
1999,S,186,0,0,0,0,0,0
1999,S,191,0,0,0,0,0,0
1999,S,196,1,129,3,2,0,0
1999,S,196,4,261,0,1,0,0
1999,S,196,5,833,1,0,0,0
1999,S,201,0,0,0,0,0,0
1999,S,206,1,129,0,0,1,0
1999,S,211,0,0,0,0,0,0
1999,S,216,0,0,0,0,0,0
1999,S,221,7,316,2,0,0,0
1999,S,226,1,129,4,0,0,0
1999,S,226,4,261,11,1,0,0
1999,S,231,1,129,1,0,0,0
1999,S,231,4,261,2,2,1,0
1999,S,236,0,0,0,0,0,0
1999,S,241,1,129,2,0,0,0
1999,S,241,7,316,1,0,0,0
1999,S,246,1,129,1,0,0,0
1999,S,246,4,261,1,0,0,0
1999,S,246,7,316,2,0,0,0
1999,S,251,1,129,16,0,0,0
1999,S,251,4,261,1,0,0,0
1999,S,251,7,316,4,0,0,0
1999,S,251,8,371,1,0,0,0
1999,S,256,1,129,2,0,0,0
1999,S,256,4,261,1,0,0,0
1999,S,256,7,316,2,2,0,0
1999,S,261,0,0,0,0,0,0
1999,S,266,1,129,1,0,0,0
1999,S,266,7,316,1,1,0,0
1999,S,271,3,12,0,2,0,0
1999,S,276,1,129,2,0,0,0
1999,S,276,7,316,2,0,0,0
1999,S,281,7,316,2,9,0,0
1999,S,286,1,129,5,2,0,0
1999,S,286,7,316,1,0,0,0
1999,S,291,1,129,8,1,0,0
1999,S,291,2,97,0,0,1,0
1999,S,296,1,129,1,0,0,0
1999,S,296,7,316,1,0,0,0
1999,S,301,1,129,9,0,0,0
1999,S,301,7,316,1,0,0,0
1999,S,306,7,316,2,0,0,0
1999,S,311,1,129,3,0,0,0
1999,S,311,7,316,5,0,0,0
1999,S,316,1,129,1,0,0,0
1999,S,316,6,802,1,0,0,0
1999,S,316,7,316,1,0,0,0
1999,S,321,1,129,2,0,0,0
1999,S,321,2,97,0,0,1,0
1999,S,321,7,316,1,0,0,0
1999,S,326,1,129,4,0,0,0
1999,S,326,7,316,4,0,0,0
1999,S,331,1,129,1,0,0,0
1999,S,336,1,129,3,0,0,0
1999,S,336,7,316,2,1,0,0
1999,S,341,1,129,9,0,0,0
1999,S,341,4,261,0,3,0,0
1999,S,341,7,316,2,0,0,0
1999,S,346,1,129,6,0,0,0
1999,S,346,5,833,1,0,0,0
1999,S,346,7,316,3,0,0,0
1999,S,351,1,129,1,0,0,0
1999,S,351,3,12,0,1,0,0
1999,S,356,1,129,10,0,0,0
1999,S,356,7,316,2,0,0,0
1999,S,361,1,129,12,0,0,0
1999,S,361,7,316,6,5,1,0
1999,S,366,1,129,11,2,0,0
1999,S,366,7,316,3,0,0,0
1999,S,371,1,129,1,0,0,0
1999,S,376,1,129,5,1,0,0
1999,S,376,7,316,1,5,0,0
1999,S,381,1,129,5,0,0,0
1999,S,381,7,316,5,1,0,0
1999,S,386,1,129,8,0,0,0
