YEAR,LINE,PLOT,SPEC,FIASP,HT1,HT2,HT3,HT4
1994,N,1,5,833,1,1,0,0
1994,N,1,7,316,4,12,10,0
1994,N,1,12,541,0,1,0,0
1994,N,6,5,833,0,0,1,0
1994,N,6,7,316,3,2,1,0
1994,N,6,12,541,1,1,0,0
1994,N,11,7,316,9,3,1,0
1994,N,11,12,541,0,0,1,0
1994,N,16,7,316,8,6,3,0
1994,N,16,15,746,0,2,0,0
1994,N,21,5,833,0,1,0,0
1994,N,21,7,316,2,0,0,0
1994,N,21,12,541,0,0,0,2
1994,N,21,15,746,0,0,2,2
1994,N,26,7,316,4,0,0,0
1994,N,31,5,833,0,2,0,0
1994,N,31,7,316,1,1,1,2
1994,N,31,15,746,0,0,1,0
1994,N,36,5,833,0,1,0,0
1994,N,36,6,802,0,1,0,0
1994,N,36,7,316,3,7,1,0
1994,N,36,12,541,0,0,1,0
1994,N,36,15,746,0,0,1,3
1994,N,41,7,316,3,2,1,0
1994,N,41,15,746,0,0,1,0
1994,N,46,1,129,1,0,0,0
1994,N,46,7,316,3,2,0,0
1994,N,46,8,371,0,1,0,0
1994,N,46,12,541,0,2,1,0
1994,N,51,5,833,0,1,0,0
1994,N,51,7,316,2,0,0,0
1994,N,56,5,833,0,1,0,0
1994,N,56,7,316,3,2,0,0
1994,N,61,7,316,2,2,0,0
1994,N,61,8,371,2,0,0,0
1994,N,61,12,541,0,1,0,0
1994,N,66,6,802,0,1,0,0
1994,N,66,7,316,3,0,0,0
1994,N,66,12,541,0,2,1,0
1994,N,71,5,833,0,2,0,0
1994,N,76,7,316,3,0,0,0
1994,N,81,5,833,0,1,0,0
1994,N,81,7,316,5,0,0,0
1994,N,86,1,129,1,3,0,0
1994,N,86,3,12,0,2,0,0
1994,N,86,5,833,0,1,0,0
1994,N,86,7,316,9,3,0,0
1994,N,91,5,833,1,0,0,0
1994,N,91,7,316,2,0,0,0
1994,N,96,5,833,2,0,0,0
1994,N,96,7,316,2,0,0,0
1994,N,101,1,129,1,0,0,0
1994,N,101,5,833,0,1,0,0
1994,N,106,1,129,1,0,0,0
1994,N,106,7,316,2,0,0,0
1994,N,111,1,129,1,0,0,0
1994,N,111,7,316,4,0,0,0
1994,N,116,1,129,2,0,0,0
1994,N,116,7,316,2,0,0,0
1994,N,121,.,999,0,0,0,0
1994,N,126,1,129,0,1,0,0
1994,N,131,7,316,2,0,0,0
1994,N,131,9,375,1,0,0,0
1994,N,136,5,833,0,2,0,0
1994,N,136,7,316,0,1,0,0
1994,N,141,1,129,0,1,0,0
1994,N,141,5,833,1,0,0,0
1994,N,141,7,316,2,0,0,0
1994,N,146,7,316,2,0,0,0
1994,N,151,1,129,0,1,0,0
1994,N,151,3,12,0,1,0,0
1994,N,151,7,316,2,0,0,0
1994,N,156,7,316,3,0,0,0
1994,N,161,7,316,1,0,0,0
1994,N,166,1,129,1,0,0,0
1994,N,166,2,97,0,1,0,0
1994,N,171,7,316,1,0,0,0
1994,N,176,.,999,0,0,0,0
1994,N,181,1,129,1,0,0,0
1994,N,181,3,12,0,1,0,0
1994,N,186,1,129,0,1,0,0
1994,N,191,7,316,0,0,1,0
1994,N,196,1,129,0,1,0,0
1994,N,196,3,12,0,1,0,0
1994,N,201,7,316,1,0,0,0
1994,N,206,3,12,1,0,0,0
1994,N,206,7,316,1,0,0,0
1994,N,211,3,12,0,0,1,0
1994,N,211,7,316,3,0,0,0
1994,N,216,.,999,0,0,0,0
1994,N,221,3,12,0,0,2,0
1994,N,221,9,375,1,0,0,0
1994,N,226,2,97,0,1,0,0
1994,N,226,3,12,1,0,0,0
1994,N,226,7,316,1,1,0,0
1994,N,231,1,129,1,1,0,0
1994,N,231,2,97,0,2,0,0
1994,N,231,5,833,0,2,0,0
1994,N,231,7,316,3,0,0,0
1994,N,236,1,129,1,1,0,0
1994,N,236,7,316,4,0,0,0
1994,N,241,7,316,4,4,0,0
1994,N,246,7,316,6,1,0,0
1994,N,246,7.1,316,0,0,1,3
1994,N,246,8,371,0,1,0,0
1994,N,251,5,833,1,0,0,0
1994,N,251,7,316,4,6,0,0
1994,N,256,1,129,0,1,0,0
1994,N,256,5,833,0,1,0,0
1994,N,256,7,316,15,0,0,0
1994,N,256,8,371,3,1,0,0
1994,N,261,7,316,1,2,1,0
1994,N,261,12,541,0,0,2,0
1994,N,266,7,316,1,0,0,0
1994,N,271,7,316,1,1,0,0
1994,N,271,8,371,0,0,1,0
1994,N,276,5,833,0,2,0,0
1994,N,281,5,833,0,1,0,0
1994,N,281,7,316,0,3,0,0
1994,N,286,7,316,5,3,0,0
1994,N,286,8,371,0,3,3,0
1994,N,291,1,129,1,0,0,0
1994,N,291,5,833,2,2,0,0
1994,N,296,.,999,0,0,0,0
1994,N,301,7,316,0,1,0,0
1994,N,306,5,833,1,0,0,0
1994,N,306,7,316,2,1,0,0
1994,N,311,1,129,0,2,0,0
1994,N,311,7,316,0,3,0,0
1994,N,316,7,316,1,0,0,0
1994,N,321,1,129,0,1,2,0
1994,N,321,7,316,2,1,0,0
1994,N,326,1,129,1,0,0,0
1994,N,326,7,316,1,0,0,0
1994,N,331,1,129,1,0,0,0
1994,N,331,5,833,2,1,0,0
1994,N,331,25,585,1,0,0,0
1994,N,336,1,129,2,0,0,0
1994,N,336,7,316,4,0,0,0
1994,N,336,25,585,1,0,0,0
1994,N,341,1,129,1,0,0,0
1994,N,341,7,316,2,0,0,0
1994,N,346,1,129,1,0,0,0
1994,N,351,1,129,5,0,0,0
1994,N,351,7,316,3,0,0,0
1994,N,356,1,129,3,1,0,0
1994,N,356,3.1,12,0,2,0,0
1994,N,356,4,261,3,2,0,0
1994,N,356,7,316,4,0,0,0
1994,N,361,1,129,1,0,0,0
1994,N,361,2,97,2,0,0,0
1994,N,361,4,261,1,0,0,0
1994,N,361,7,316,4,0,0,0
1994,N,361,25,585,1,0,0,0
1994,N,366,7,316,1,0,0,0
1994,N,371,1,129,3,3,0,0
1994,N,371,2,97,2,0,0,0
1994,N,371,4,261,1,1,0,0
1994,N,371,7,316,8,0,0,0
1994,N,376,7,316,2,0,0,0
1994,N,381,1,129,3,0,0,0
1994,N,381,5,833,1,0,0,0
1994,N,381,7,316,6,0,0,0
1994,N,386,1,129,1,0,0,0
